,hospital_name,state,readmission_ratio,predicted_rate,expected_rate,zip,hhc_count,nursing_care,physical_therapy,occupational_therapy,pathology_services,medical_soc_services,home_health_aid,star_rating,timeliness,rx_ed,fall_risk,depression_check,flu_shot,pneumonia_shot,d_foot_care,move_buff,in_out_bed_buff,bathing_buff,move_pain_debuff,breathing_buff,oral_rx_buff,hospital_admit,urgent_noadmit,readmit_expectation,er_admit_expectation
16,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,0.8822,16.9,19.1,36535,3,1,1.0,1.0,1.0,1.0,1.0,4.0,97.0,99.33333333333333,99.8,97.16666666666667,82.43333333333334,83.86666666666666,98.63333333333333,77.3,73.06666666666666,80.46666666666665,76.83333333333333,78.83333333333333,69.56666666666668,16.166666666666668,13.333333333333334,2,1
17,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,0.9738,20.6,21.1,36535,3,1,1.0,1.0,1.0,1.0,1.0,4.0,97.0,99.33333333333333,99.8,97.16666666666667,82.43333333333334,83.86666666666666,98.63333333333333,77.3,73.06666666666666,80.46666666666665,76.83333333333333,78.83333333333333,69.56666666666668,16.166666666666668,13.333333333333334,2,1
18,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,1.0245,16.8,16.3,36535,3,1,1.0,1.0,1.0,1.0,1.0,4.0,97.0,99.33333333333333,99.8,97.16666666666667,82.43333333333334,83.86666666666666,98.63333333333333,77.3,73.06666666666666,80.46666666666665,76.83333333333333,78.83333333333333,69.56666666666668,16.166666666666668,13.333333333333334,2,1
19,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,0.9753,13.6,13.9,36535,3,1,1.0,1.0,1.0,1.0,1.0,4.0,97.0,99.33333333333333,99.8,97.16666666666667,82.43333333333334,83.86666666666666,98.63333333333333,77.3,73.06666666666666,80.46666666666665,76.83333333333333,78.83333333333333,69.56666666666668,16.166666666666668,13.333333333333334,2,1
20,WALKER BAPTIST MEDICAL CENTER,AL,1.0421,22.6,21.7,35501,2,1,1.0,1.0,1.0,1.0,1.0,4.5,97.35,98.7,99.8,96.5,91.1,90.35,92.85,81.0,75.15,86.75,81.75,84.35,67.3,16.5,10.8,2,2
21,WALKER BAPTIST MEDICAL CENTER,AL,0.898,4.6,5.1,35501,2,1,1.0,1.0,1.0,1.0,1.0,4.5,97.35,98.7,99.8,96.5,91.1,90.35,92.85,81.0,75.15,86.75,81.75,84.35,67.3,16.5,10.8,2,2
22,WALKER BAPTIST MEDICAL CENTER,AL,1.0779,19.2,17.8,35501,2,1,1.0,1.0,1.0,1.0,1.0,4.5,97.35,98.7,99.8,96.5,91.1,90.35,92.85,81.0,75.15,86.75,81.75,84.35,67.3,16.5,10.8,2,2
23,WALKER BAPTIST MEDICAL CENTER,AL,1.0683,22.0,20.6,35501,2,1,1.0,1.0,1.0,1.0,1.0,4.5,97.35,98.7,99.8,96.5,91.1,90.35,92.85,81.0,75.15,86.75,81.75,84.35,67.3,16.5,10.8,2,2
24,WALKER BAPTIST MEDICAL CENTER,AL,0.9458,16.1,17.0,35501,2,1,1.0,1.0,1.0,1.0,1.0,4.5,97.35,98.7,99.8,96.5,91.1,90.35,92.85,81.0,75.15,86.75,81.75,84.35,67.3,16.5,10.8,2,2
25,MONROE COUNTY HOSPITAL,AL,0.9526,17.2,18.0,36461,1,1,1.0,1.0,0.0,0.0,1.0,2.0,93.8,98.4,99.3,98.8,59.9,65.6,94.6,57.1,48.7,56.6,60.0,57.2,55.9,15.0,17.8,2,1
26,MONROE COUNTY HOSPITAL,AL,1.0429,19.2,18.4,36461,1,1,1.0,1.0,0.0,0.0,1.0,2.0,93.8,98.4,99.3,98.8,59.9,65.6,94.6,57.1,48.7,56.6,60.0,57.2,55.9,15.0,17.8,2,1
27,MONROE COUNTY HOSPITAL,AL,1.1033,15.5,14.1,36461,1,1,1.0,1.0,0.0,0.0,1.0,2.0,93.8,98.4,99.3,98.8,59.9,65.6,94.6,57.1,48.7,56.6,60.0,57.2,55.9,15.0,17.8,2,1
28,MONROE COUNTY HOSPITAL,AL,0.9526,17.2,18.0,36460,2,1,1.0,0.5,0.5,0.0,1.0,4.0,97.85,100.0,99.0,96.8,72.69999999999999,76.95,99.6,84.05,78.85,81.6,76.8,87.6,62.2,22.950000000000003,13.1,2,2
29,MONROE COUNTY HOSPITAL,AL,1.0429,19.2,18.4,36460,2,1,1.0,0.5,0.5,0.0,1.0,4.0,97.85,100.0,99.0,96.8,72.69999999999999,76.95,99.6,84.05,78.85,81.6,76.8,87.6,62.2,22.950000000000003,13.1,2,2
30,MONROE COUNTY HOSPITAL,AL,1.1033,15.5,14.1,36460,2,1,1.0,0.5,0.5,0.0,1.0,4.0,97.85,100.0,99.0,96.8,72.69999999999999,76.95,99.6,84.05,78.85,81.6,76.8,87.6,62.2,22.950000000000003,13.1,2,2
31,JACKSON MEDICAL CENTER,AL,0.9648,12.6,13.0,36545,2,1,1.0,0.0,0.5,0.5,1.0,4.0,98.65,99.55,100.0,99.4,75.2,70.85,99.55,77.55000000000001,72.55000000000001,78.5,88.85,77.8,70.45,18.85,16.1,2,2
32,JACKSON MEDICAL CENTER,AL,0.9322,13.4,14.4,36545,2,1,1.0,0.0,0.5,0.5,1.0,4.0,98.65,99.55,100.0,99.4,75.2,70.85,99.55,77.55000000000001,72.55000000000001,78.5,88.85,77.8,70.45,18.85,16.1,2,2
33,JACKSON MEDICAL CENTER,AL,1.0065,16.0,15.9,36545,2,1,1.0,0.0,0.5,0.5,1.0,4.0,98.65,99.55,100.0,99.4,75.2,70.85,99.55,77.55000000000001,72.55000000000001,78.5,88.85,77.8,70.45,18.85,16.1,2,2
34,CRESTWOOD MEDICAL CENTER,AL,1.0453,15.8,15.1,35801,1,1,1.0,1.0,1.0,1.0,1.0,3.5,94.6,99.9,98.7,95.9,78.2,77.8,95.5,76.5,68.9,80.6,77.8,77.2,66.2,19.1,12.1,1,1
35,CRESTWOOD MEDICAL CENTER,AL,1.0309,17.7,17.2,35801,1,1,1.0,1.0,1.0,1.0,1.0,3.5,94.6,99.9,98.7,95.9,78.2,77.8,95.5,76.5,68.9,80.6,77.8,77.2,66.2,19.1,12.1,1,1
36,CRESTWOOD MEDICAL CENTER,AL,1.2767,5.2,4.0,35801,1,1,1.0,1.0,1.0,1.0,1.0,3.5,94.6,99.9,98.7,95.9,78.2,77.8,95.5,76.5,68.9,80.6,77.8,77.2,66.2,19.1,12.1,1,1
37,CRESTWOOD MEDICAL CENTER,AL,1.1015,21.9,19.9,35801,1,1,1.0,1.0,1.0,1.0,1.0,3.5,94.6,99.9,98.7,95.9,78.2,77.8,95.5,76.5,68.9,80.6,77.8,77.2,66.2,19.1,12.1,1,1
38,CRESTWOOD MEDICAL CENTER,AL,0.9809,14.8,15.1,35801,1,1,1.0,1.0,1.0,1.0,1.0,3.5,94.6,99.9,98.7,95.9,78.2,77.8,95.5,76.5,68.9,80.6,77.8,77.2,66.2,19.1,12.1,1,1
39,RUSSELLVILLE HOSPITAL,AL,1.0822,6.1,5.6,35653,1,1,1.0,1.0,1.0,0.0,1.0,4.0,95.8,100.0,99.5,100.0,52.0,66.1,100.0,86.0,84.3,76.0,67.6,65.6,75.7,13.3,13.6,2,2
40,RUSSELLVILLE HOSPITAL,AL,1.0507,19.8,18.9,35653,1,1,1.0,1.0,1.0,0.0,1.0,4.0,95.8,100.0,99.5,100.0,52.0,66.1,100.0,86.0,84.3,76.0,67.6,65.6,75.7,13.3,13.6,2,2
41,RUSSELLVILLE HOSPITAL,AL,0.9543,16.3,17.1,35653,1,1,1.0,1.0,1.0,0.0,1.0,4.0,95.8,100.0,99.5,100.0,52.0,66.1,100.0,86.0,84.3,76.0,67.6,65.6,75.7,13.3,13.6,2,2
42,RUSSELLVILLE HOSPITAL,AL,1.1105,17.1,15.4,35653,1,1,1.0,1.0,1.0,0.0,1.0,4.0,95.8,100.0,99.5,100.0,52.0,66.1,100.0,86.0,84.3,76.0,67.6,65.6,75.7,13.3,13.6,2,2
43,NORTHWEST MEDICAL CENTER,AL,1.0101,18.3,18.1,35653,1,1,1.0,1.0,1.0,0.0,1.0,4.0,95.8,100.0,99.5,100.0,52.0,66.1,100.0,86.0,84.3,76.0,67.6,65.6,75.7,13.3,13.6,2,2
44,NORTHWEST MEDICAL CENTER,AL,0.9558,19.7,20.6,35653,1,1,1.0,1.0,1.0,0.0,1.0,4.0,95.8,100.0,99.5,100.0,52.0,66.1,100.0,86.0,84.3,76.0,67.6,65.6,75.7,13.3,13.6,2,2
45,NORTHWEST MEDICAL CENTER,AL,0.9212,15.0,16.3,35653,1,1,1.0,1.0,1.0,0.0,1.0,4.0,95.8,100.0,99.5,100.0,52.0,66.1,100.0,86.0,84.3,76.0,67.6,65.6,75.7,13.3,13.6,2,2
46,ELIZA COFFEE MEMORIAL HOSPITAL,AL,1.1851,5.1,4.3,35630,2,1,1.0,1.0,1.0,1.0,1.0,3.5,94.9,97.1,99.55,98.30000000000001,79.6,82.15,96.1,77.8,72.6,84.65,77.55,76.0,59.7,20.85,10.05,2,2
47,ELIZA COFFEE MEMORIAL HOSPITAL,AL,0.9935,18.1,18.2,35630,2,1,1.0,1.0,1.0,1.0,1.0,3.5,94.9,97.1,99.55,98.30000000000001,79.6,82.15,96.1,77.8,72.6,84.65,77.55,76.0,59.7,20.85,10.05,2,2
48,ELIZA COFFEE MEMORIAL HOSPITAL,AL,1.0014,20.8,20.8,35630,2,1,1.0,1.0,1.0,1.0,1.0,3.5,94.9,97.1,99.55,98.30000000000001,79.6,82.15,96.1,77.8,72.6,84.65,77.55,76.0,59.7,20.85,10.05,2,2
49,ELIZA COFFEE MEMORIAL HOSPITAL,AL,1.1007,14.4,13.1,35630,2,1,1.0,1.0,1.0,1.0,1.0,3.5,94.9,97.1,99.55,98.30000000000001,79.6,82.15,96.1,77.8,72.6,84.65,77.55,76.0,59.7,20.85,10.05,2,2
50,ELIZA COFFEE MEMORIAL HOSPITAL,AL,1.0529,17.1,16.2,35630,2,1,1.0,1.0,1.0,1.0,1.0,3.5,94.9,97.1,99.55,98.30000000000001,79.6,82.15,96.1,77.8,72.6,84.65,77.55,76.0,59.7,20.85,10.05,2,2
51,ELIZA COFFEE MEMORIAL HOSPITAL,AL,1.0417,15.3,14.7,35630,2,1,1.0,1.0,1.0,1.0,1.0,3.5,94.9,97.1,99.55,98.30000000000001,79.6,82.15,96.1,77.8,72.6,84.65,77.55,76.0,59.7,20.85,10.05,2,2
52,SHELBY BAPTIST MEDICAL CENTER,AL,1.0698,13.9,13.0,35007,1,1,1.0,1.0,1.0,1.0,1.0,2.5,92.8,96.7,98.5,97.9,71.0,81.8,98.8,65.1,62.7,70.8,71.4,62.6,53.5,19.3,9.8,1,1
53,SHELBY BAPTIST MEDICAL CENTER,AL,1.0333,4.6,4.5,35007,1,1,1.0,1.0,1.0,1.0,1.0,2.5,92.8,96.7,98.5,97.9,71.0,81.8,98.8,65.1,62.7,70.8,71.4,62.6,53.5,19.3,9.8,1,1
54,SHELBY BAPTIST MEDICAL CENTER,AL,0.9046,14.7,16.2,35007,1,1,1.0,1.0,1.0,1.0,1.0,2.5,92.8,96.7,98.5,97.9,71.0,81.8,98.8,65.1,62.7,70.8,71.4,62.6,53.5,19.3,9.8,1,1
55,SHELBY BAPTIST MEDICAL CENTER,AL,1.0438,14.1,13.5,35007,1,1,1.0,1.0,1.0,1.0,1.0,2.5,92.8,96.7,98.5,97.9,71.0,81.8,98.8,65.1,62.7,70.8,71.4,62.6,53.5,19.3,9.8,1,1
56,SHELBY BAPTIST MEDICAL CENTER,AL,0.9958,21.5,21.6,35007,1,1,1.0,1.0,1.0,1.0,1.0,2.5,92.8,96.7,98.5,97.9,71.0,81.8,98.8,65.1,62.7,70.8,71.4,62.6,53.5,19.3,9.8,1,1
57,SHELBY BAPTIST MEDICAL CENTER,AL,0.9516,17.4,18.3,35007,1,1,1.0,1.0,1.0,1.0,1.0,2.5,92.8,96.7,98.5,97.9,71.0,81.8,98.8,65.1,62.7,70.8,71.4,62.6,53.5,19.3,9.8,1,1
58,MARION REGIONAL MEDICAL CENTER,AL,0.9555,18.3,19.1,35570,2,1,1.0,1.0,1.0,1.0,1.0,4.5,98.1,99.8,99.75,99.15,72.15,83.75,99.65,82.85,82.15,91.25,88.9,79.5,75.45,19.6,11.55,2,2
59,MARION REGIONAL MEDICAL CENTER,AL,0.9218,15.3,16.6,35570,2,1,1.0,1.0,1.0,1.0,1.0,4.5,98.1,99.8,99.75,99.15,72.15,83.75,99.65,82.85,82.15,91.25,88.9,79.5,75.45,19.6,11.55,2,2
60,MARION REGIONAL MEDICAL CENTER,AL,0.93,13.6,14.6,35570,2,1,1.0,1.0,1.0,1.0,1.0,4.5,98.1,99.8,99.75,99.15,72.15,83.75,99.65,82.85,82.15,91.25,88.9,79.5,75.45,19.6,11.55,2,2
61,RIVERVIEW REGIONAL MEDICAL CENTER,AL,1.0524,20.1,19.1,35901,1,1,1.0,1.0,1.0,0.0,1.0,4.5,97.0,99.6,99.2,97.0,90.9,84.4,98.8,77.7,72.5,83.4,83.1,80.9,68.8,15.7,10.5,2,2
62,RIVERVIEW REGIONAL MEDICAL CENTER,AL,0.9548,16.7,17.5,35901,1,1,1.0,1.0,1.0,0.0,1.0,4.5,97.0,99.6,99.2,97.0,90.9,84.4,98.8,77.7,72.5,83.4,83.1,80.9,68.8,15.7,10.5,2,2
63,RIVERVIEW REGIONAL MEDICAL CENTER,AL,1.1961,27.5,23.0,35901,1,1,1.0,1.0,1.0,0.0,1.0,4.5,97.0,99.6,99.2,97.0,90.9,84.4,98.8,77.7,72.5,83.4,83.1,80.9,68.8,15.7,10.5,2,2
64,RIVERVIEW REGIONAL MEDICAL CENTER,AL,0.9605,14.4,15.0,35901,1,1,1.0,1.0,1.0,0.0,1.0,4.5,97.0,99.6,99.2,97.0,90.9,84.4,98.8,77.7,72.5,83.4,83.1,80.9,68.8,15.7,10.5,2,2
65,RIVERVIEW REGIONAL MEDICAL CENTER,AL,1.0075,4.4,4.3,35901,1,1,1.0,1.0,1.0,0.0,1.0,4.5,97.0,99.6,99.2,97.0,90.9,84.4,98.8,77.7,72.5,83.4,83.1,80.9,68.8,15.7,10.5,2,2
66,RIVERVIEW REGIONAL MEDICAL CENTER,AL,1.0178,15.6,15.4,35901,1,1,1.0,1.0,1.0,0.0,1.0,4.5,97.0,99.6,99.2,97.0,90.9,84.4,98.8,77.7,72.5,83.4,83.1,80.9,68.8,15.7,10.5,2,2
67,FLOWERS HOSPITAL,AL,0.894,14.0,15.7,36301,1,1,1.0,1.0,1.0,1.0,1.0,4.5,98.4,99.9,100.0,99.7,75.5,77.3,99.4,84.8,78.7,86.6,88.9,85.5,73.6,17.7,12.1,1,2
68,FLOWERS HOSPITAL,AL,0.8943,11.7,13.1,36301,1,1,1.0,1.0,1.0,1.0,1.0,4.5,98.4,99.9,100.0,99.7,75.5,77.3,99.4,84.8,78.7,86.6,88.9,85.5,73.6,17.7,12.1,1,2
69,FLOWERS HOSPITAL,AL,0.9021,16.7,18.5,36301,1,1,1.0,1.0,1.0,1.0,1.0,4.5,98.4,99.9,100.0,99.7,75.5,77.3,99.4,84.8,78.7,86.6,88.9,85.5,73.6,17.7,12.1,1,2
70,FLOWERS HOSPITAL,AL,0.9232,19.0,20.6,36301,1,1,1.0,1.0,1.0,1.0,1.0,4.5,98.4,99.9,100.0,99.7,75.5,77.3,99.4,84.8,78.7,86.6,88.9,85.5,73.6,17.7,12.1,1,2
71,FLOWERS HOSPITAL,AL,1.0383,14.8,14.3,36301,1,1,1.0,1.0,1.0,1.0,1.0,4.5,98.4,99.9,100.0,99.7,75.5,77.3,99.4,84.8,78.7,86.6,88.9,85.5,73.6,17.7,12.1,1,2
72,FLOWERS HOSPITAL,AL,1.1686,5.0,4.2,36301,1,1,1.0,1.0,1.0,1.0,1.0,4.5,98.4,99.9,100.0,99.7,75.5,77.3,99.4,84.8,78.7,86.6,88.9,85.5,73.6,17.7,12.1,1,2
73,SOUTHEAST ALABAMA MEDICAL CENTER,AL,0.9875,14.9,15.1,36301,1,1,1.0,1.0,1.0,1.0,1.0,4.5,98.4,99.9,100.0,99.7,75.5,77.3,99.4,84.8,78.7,86.6,88.9,85.5,73.6,17.7,12.1,1,2
74,SOUTHEAST ALABAMA MEDICAL CENTER,AL,0.9875,14.9,15.1,36301,1,1,1.0,1.0,1.0,1.0,1.0,4.5,98.4,99.9,100.0,99.7,75.5,77.3,99.4,84.8,78.7,86.6,88.9,85.5,73.6,17.7,12.1,1,2
75,SOUTHEAST ALABAMA MEDICAL CENTER,AL,0.9891,18.3,18.5,36301,1,1,1.0,1.0,1.0,1.0,1.0,4.5,98.4,99.9,100.0,99.7,75.5,77.3,99.4,84.8,78.7,86.6,88.9,85.5,73.6,17.7,12.1,1,2
76,SOUTHEAST ALABAMA MEDICAL CENTER,AL,0.9891,18.3,18.5,36301,1,1,1.0,1.0,1.0,1.0,1.0,4.5,98.4,99.9,100.0,99.7,75.5,77.3,99.4,84.8,78.7,86.6,88.9,85.5,73.6,17.7,12.1,1,2
77,SOUTHEAST ALABAMA MEDICAL CENTER,AL,0.9506,20.1,21.2,36301,1,1,1.0,1.0,1.0,1.0,1.0,4.5,98.4,99.9,100.0,99.7,75.5,77.3,99.4,84.8,78.7,86.6,88.9,85.5,73.6,17.7,12.1,1,2
78,SOUTHEAST ALABAMA MEDICAL CENTER,AL,0.9506,20.1,21.2,36301,1,1,1.0,1.0,1.0,1.0,1.0,4.5,98.4,99.9,100.0,99.7,75.5,77.3,99.4,84.8,78.7,86.6,88.9,85.5,73.6,17.7,12.1,1,2
79,SOUTHEAST ALABAMA MEDICAL CENTER,AL,1.0855,17.6,16.2,36301,1,1,1.0,1.0,1.0,1.0,1.0,4.5,98.4,99.9,100.0,99.7,75.5,77.3,99.4,84.8,78.7,86.6,88.9,85.5,73.6,17.7,12.1,1,2
80,SOUTHEAST ALABAMA MEDICAL CENTER,AL,1.0855,17.6,16.2,36301,1,1,1.0,1.0,1.0,1.0,1.0,4.5,98.4,99.9,100.0,99.7,75.5,77.3,99.4,84.8,78.7,86.6,88.9,85.5,73.6,17.7,12.1,1,2
81,SOUTHEAST ALABAMA MEDICAL CENTER,AL,1.1004,5.3,4.8,36301,1,1,1.0,1.0,1.0,1.0,1.0,4.5,98.4,99.9,100.0,99.7,75.5,77.3,99.4,84.8,78.7,86.6,88.9,85.5,73.6,17.7,12.1,1,2
82,SOUTHEAST ALABAMA MEDICAL CENTER,AL,1.1004,5.3,4.8,36301,1,1,1.0,1.0,1.0,1.0,1.0,4.5,98.4,99.9,100.0,99.7,75.5,77.3,99.4,84.8,78.7,86.6,88.9,85.5,73.6,17.7,12.1,1,2
83,SOUTHEAST ALABAMA MEDICAL CENTER,AL,1.0499,13.3,12.7,36301,1,1,1.0,1.0,1.0,1.0,1.0,4.5,98.4,99.9,100.0,99.7,75.5,77.3,99.4,84.8,78.7,86.6,88.9,85.5,73.6,17.7,12.1,1,2
84,SOUTHEAST ALABAMA MEDICAL CENTER,AL,1.0499,13.3,12.7,36301,1,1,1.0,1.0,1.0,1.0,1.0,4.5,98.4,99.9,100.0,99.7,75.5,77.3,99.4,84.8,78.7,86.6,88.9,85.5,73.6,17.7,12.1,1,2
85,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,0.9894,19.0,19.2,85901,1,1,1.0,1.0,0.0,1.0,1.0,3.0,93.8,96.3,96.0,97.5,75.0,79.4,94.3,65.4,68.8,76.5,66.1,71.5,63.0,11.6,16.3,2,2
86,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,0.9894,19.0,19.2,85901,1,1,1.0,1.0,0.0,1.0,1.0,3.0,93.8,96.3,96.0,97.5,75.0,79.4,94.3,65.4,68.8,76.5,66.1,71.5,63.0,11.6,16.3,2,2
87,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,0.9249,4.0,4.3,85901,1,1,1.0,1.0,0.0,1.0,1.0,3.0,93.8,96.3,96.0,97.5,75.0,79.4,94.3,65.4,68.8,76.5,66.1,71.5,63.0,11.6,16.3,2,2
88,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,0.9249,4.0,4.3,85901,1,1,1.0,1.0,0.0,1.0,1.0,3.0,93.8,96.3,96.0,97.5,75.0,79.4,94.3,65.4,68.8,76.5,66.1,71.5,63.0,11.6,16.3,2,2
89,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,0.8828,18.8,21.3,85901,1,1,1.0,1.0,0.0,1.0,1.0,3.0,93.8,96.3,96.0,97.5,75.0,79.4,94.3,65.4,68.8,76.5,66.1,71.5,63.0,11.6,16.3,2,2
90,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,0.8828,18.8,21.3,85901,1,1,1.0,1.0,0.0,1.0,1.0,3.0,93.8,96.3,96.0,97.5,75.0,79.4,94.3,65.4,68.8,76.5,66.1,71.5,63.0,11.6,16.3,2,2
91,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,0.8991,14.3,15.9,85901,1,1,1.0,1.0,0.0,1.0,1.0,3.0,93.8,96.3,96.0,97.5,75.0,79.4,94.3,65.4,68.8,76.5,66.1,71.5,63.0,11.6,16.3,2,2
92,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,0.8991,14.3,15.9,85901,1,1,1.0,1.0,0.0,1.0,1.0,3.0,93.8,96.3,96.0,97.5,75.0,79.4,94.3,65.4,68.8,76.5,66.1,71.5,63.0,11.6,16.3,2,2
93,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,0.9812,13.3,13.6,85901,1,1,1.0,1.0,0.0,1.0,1.0,3.0,93.8,96.3,96.0,97.5,75.0,79.4,94.3,65.4,68.8,76.5,66.1,71.5,63.0,11.6,16.3,2,2
94,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,0.9812,13.3,13.6,85901,1,1,1.0,1.0,0.0,1.0,1.0,3.0,93.8,96.3,96.0,97.5,75.0,79.4,94.3,65.4,68.8,76.5,66.1,71.5,63.0,11.6,16.3,2,2
95,HAVASU REGIONAL MEDICAL CENTER,AZ,0.9981,13.6,13.7,86403,2,1,1.0,1.0,1.0,1.0,1.0,3.75,95.35,98.5,99.35,99.6,72.8,83.75,98.1,73.05000000000001,73.6,80.6,76.80000000000001,79.15,63.25,14.6,17.0,2,1
96,HAVASU REGIONAL MEDICAL CENTER,AZ,0.9757,20.2,20.7,86403,2,1,1.0,1.0,1.0,1.0,1.0,3.75,95.35,98.5,99.35,99.6,72.8,83.75,98.1,73.05000000000001,73.6,80.6,76.80000000000001,79.15,63.25,14.6,17.0,2,1
