,state,name,zip,nursing_care,physical_therapy,occupational_therapy,pathology_services,medical_soc_services,home_health_aid,star_rating,timeliness,rx_ed,fall_risk,depression_check,flu_shot,pneumonia_shot,d_foot_care,move_buff,in_out_bed_buff,bathing_buff,move_pain_debuff,breathing_buff,oral_rx_buff,hospital_admit,urgent_noadmit,readmit_expectation,er_admit_expectation
10,AL,KINDRED AT HOME,35244,True,True,True,True,True,True,2.5,82.4,96.3,99.8,97.8,73.3,76.0,89.2,70.3,65.4,71.2,74.6,71.1,54.9,20.5,10.1,1,1
11,AL,DECATUR MORGAN HOMECARE,35603,True,True,True,True,True,True,4.5,98.7,99.9,100.0,99.9,78.5,85.0,99.8,85.3,81.1,85.8,84.4,85.0,70.4,15.5,11.6,2,2
12,AL,CENTRAL ALABAMA HOMECARE,35068,True,True,True,True,True,True,3.5,90.4,98.5,98.7,97.1,65.7,82.1,99.1,79.0,76.9,81.0,73.9,79.9,70.4,17.6,9.0,2,2
13,AL,COMFORT CARE COASTAL HOME HEALTH,36532,True,True,True,True,False,True,3.0,94.4,98.8,99.9,99.9,75.5,80.9,99.8,64.5,63.9,72.6,70.4,64.0,61.1,16.0,11.0,2,2
14,AL,INFIRMARY HOMECARE,36609,True,True,True,True,True,True,4.5,98.1,99.9,100.0,99.9,77.7,76.3,98.9,80.4,79.7,84.8,86.9,88.7,76.0,16.4,10.3,1,2
15,CA,IDEAL HOME CARE INC,91740,True,True,True,True,True,True,5.0,98.9,100.0,100.0,100.0,73.0,71.1,100.0,98.9,96.6,100.0,99.1,92.0,100.0,16.8,9.2,2,2
16,AL,BAPTIST HOME HEALTH,36109,True,True,True,True,True,True,4.0,94.6,99.4,100.0,99.9,72.3,76.0,99.4,77.3,80.6,82.6,90.0,86.3,75.5,18.0,14.9,2,2
17,AL,AMEDISYS HOME HEALTH OF HUNTSVILLE,35801,True,True,True,True,True,True,3.5,94.6,99.9,98.7,95.9,78.2,77.8,95.5,76.5,68.9,80.6,77.8,77.2,66.2,19.1,12.1,1,1
18,AL,ALABAMA HOMECARE,35216,True,True,True,True,True,True,4.0,95.7,99.7,99.7,99.7,64.8,62.6,100.0,72.8,75.7,84.9,83.2,87.9,62.8,13.6,16.6,2,2
19,AL,KINDRED AT HOME,36340,True,True,True,True,False,True,4.0,99.0,97.6,99.8,99.9,79.2,79.1,98.9,74.1,69.0,82.9,89.1,84.6,65.1,16.9,16.3,1,1
20,AL,SPECTRUM HOME HEALTH AGENCY,35816,True,True,True,True,True,True,2.5,87.3,96.1,100.0,98.5,64.1,69.4,100.0,71.3,52.5,72.3,72.7,53.7,55.1,18.1,8.0,2,2
21,AL,AMEDISYS HOME HEALTH LAKESHORE OF BIRMINGHAM,35209,True,True,True,True,True,True,4.0,95.3,99.7,99.6,96.4,84.1,89.2,93.3,70.7,64.5,75.5,78.7,85.3,58.3,16.2,12.9,2,1
22,AL,KINDRED AT HOME,36535,True,True,True,True,True,True,4.0,96.7,98.5,99.8,97.2,88.7,91.1,100.0,76.1,71.8,80.1,76.6,80.1,68.2,16.1,13.6,2,1
23,AL,ENCOMPASS HOME HEALTH OF ALABAMA,36305,True,True,True,True,True,True,4.0,94.0,99.0,99.9,99.4,72.0,74.5,96.5,77.9,74.2,81.1,78.1,81.0,68.0,17.1,14.7,1,1
24,AL,KINDRED AT HOME,35235,True,True,True,True,True,True,3.0,89.0,95.9,100.0,98.6,80.6,83.7,99.5,69.3,66.2,75.4,75.3,77.3,60.7,15.5,11.1,1,1
25,AL,KINDRED AT HOME,36066,True,True,True,True,True,True,3.5,96.7,99.1,100.0,99.8,84.5,85.7,99.2,70.8,65.8,82.2,79.0,78.2,58.5,21.5,11.1,1,2
26,AL,KINDRED AT HOME,36064,True,True,True,True,True,True,3.0,93.4,97.4,100.0,98.6,73.0,66.9,97.7,69.4,68.1,73.6,77.4,75.0,61.3,17.1,12.0,2,2
27,AL,KINDRED AT HOME,36526,True,True,True,True,True,True,4.0,95.8,99.0,100.0,97.4,84.9,85.0,97.2,74.1,72.8,83.9,77.8,81.7,62.1,19.2,13.7,1,1
28,AL,INTREPID USA HEALTHCARE SERVICES,35226,True,True,True,True,True,True,2.5,94.8,98.4,100.0,99.5,59.1,62.5,99.4,74.6,62.7,67.8,59.7,46.0,50.4,19.6,12.8,2,2
29,AL,SPRINGHILL HOME HEALTH AND HOSPICE,36607,True,True,True,True,True,True,2.5,95.2,99.3,99.8,99.3,68.5,68.3,98.5,64.0,56.6,70.2,67.0,62.6,58.3,17.8,12.5,1,2
30,AL,INTREPID USA HEALTHCARE SERVICES,36106,True,True,True,True,True,True,2.0,98.0,92.7,99.6,89.0,86.4,78.2,98.9,60.3,54.9,54.4,43.3,43.1,47.3,25.1,11.1,2,1
31,AL,AMEDISYS HOME HEALTH OF FOLEY,36535,True,True,True,True,True,True,5.0,98.6,99.9,99.8,96.7,90.1,83.9,97.4,88.7,81.1,92.1,93.6,90.5,84.4,18.6,10.6,1,1
32,AL,AMEDISYS HOME HEALTH OF CITRONELLE,36522,True,True,True,True,True,True,4.0,97.8,100.0,99.2,95.6,91.0,86.9,97.4,76.0,68.1,82.3,77.3,79.6,60.8,17.9,11.1,2,2
33,AL,KINDRED AT HOME,35650,True,True,True,True,True,True,4.0,97.3,98.5,100.0,93.3,83.4,84.8,96.8,81.0,74.1,86.2,83.5,83.1,66.5,18.0,12.7,1,2
34,AL,AMEDISYS HOME HEALTH OF GREENVILLE,36037,True,True,True,False,False,True,4.5,97.8,99.7,99.0,97.0,87.2,77.0,96.4,84.2,76.7,79.6,82.8,83.2,65.9,15.3,12.7,2,2
35,AL,AMEDISYS HOME HEALTH OF REFORM,35481,True,True,True,True,True,True,4.5,97.8,100.0,99.6,97.8,83.0,85.0,99.6,80.1,72.8,82.0,73.4,80.9,61.9,16.4,14.2,2,2
36,AL,LAMAR HOME CARE INC,35592,True,True,False,False,False,True,4.0,96.9,96.8,100.0,100.0,77.1,87.3,,68.5,79.5,83.9,85.9,74.3,60.5,14.6,6.2,1,2
37,AL,DCH HOME HEALTH CARE AGENCY,35401,True,True,True,True,True,True,3.0,89.0,99.3,100.0,99.8,71.6,80.3,99.6,78.1,69.6,73.8,71.1,70.1,72.9,18.9,9.3,1,2
38,AL,CV HOME HEALTH OF BIBB COUNTY,35042,True,True,False,False,False,True,3.0,97.5,95.4,100.0,99.6,91.1,90.1,97.1,70.8,57.7,66.6,51.5,39.6,60.7,5.6,17.6,2,2
39,AL,KINDRED AT HOME,36701,True,True,True,True,True,True,4.0,94.7,99.7,100.0,99.5,94.5,91.9,99.3,77.7,72.3,81.5,90.3,88.1,69.5,23.7,15.7,2,1
40,AL,COOSA VALLEY HOMECARE,35150,True,True,True,True,True,True,4.5,98.4,99.8,100.0,100.0,59.4,65.2,98.7,82.9,88.8,85.1,89.2,91.1,73.5,15.4,10.8,2,2
41,AL,ALABAMA HOMECARE,36726,True,True,False,True,True,True,5.0,98.1,100.0,99.7,100.0,49.5,45.9,100.0,89.1,83.0,91.5,93.1,94.5,78.8,9.5,19.3,2,2
42,AL,FAYETTE MEDICAL CENTER HOMECARE,35555,True,True,True,True,True,True,4.5,98.9,99.8,100.0,100.0,66.8,61.1,99.5,83.5,82.1,88.9,91.8,83.6,71.7,21.2,11.4,2,2
43,AL,CULLMAN REGIONAL MEDICAL CENTER HOME CARE SERVICES,35058,True,True,True,False,True,True,3.5,99.0,96.8,99.8,99.3,84.7,91.1,98.3,67.9,78.9,71.9,59.0,78.3,69.0,14.9,8.1,1,2
44,AL,KINDRED AT HOME,36908,True,True,False,False,False,True,4.0,99.3,99.3,100.0,99.6,66.7,70.8,99.6,81.9,75.9,82.0,81.8,87.0,65.7,15.4,15.1,2,1
45,AL,HALE COUNTY HOSPITAL HOME HEALTH,36744,True,True,True,True,False,True,4.5,99.4,99.7,100.0,100.0,54.1,46.5,100.0,100.0,90.7,100.0,96.9,100.0,100.0,16.1,14.5,2,2
46,AL,MEDICAL CENTER HOME HEALTH,35447,True,True,True,True,False,True,3.0,96.0,99.5,100.0,100.0,75.6,88.6,98.9,68.9,54.3,70.8,75.3,70.1,56.4,22.2,8.1,2,2
47,AL,DEKALB REGIONAL HOME HEALTH,35968,True,True,True,True,True,True,5.0,99.0,99.0,100.0,99.7,93.9,94.3,99.2,87.6,87.1,98.6,92.1,90.0,86.5,13.7,9.7,2,2
48,AL,CHEROKEE HOME HEALTH,35960,True,True,True,False,True,True,4.0,97.1,97.7,99.3,88.2,82.3,84.8,100.0,83.4,75.9,86.7,93.9,77.9,69.3,19.7,9.7,1,2
49,AL,ATHENS-LIMESTONE HOMECARE,35611,True,True,True,True,False,True,5.0,99.2,100.0,100.0,99.9,80.0,78.4,99.8,88.2,82.1,88.3,85.7,84.3,77.1,17.2,12.9,2,2
50,AL,TROY REGIONAL MEDICAL CENTER HOME HEALTH,36081,True,True,True,True,True,True,4.5,99.2,99.8,100.0,100.0,68.7,58.9,100.0,82.6,79.0,86.4,92.4,84.5,80.5,13.7,18.1,2,1
51,AL,"CLAY COUNTY HOSPITAL HOME CARE, LLC",36251,True,True,True,False,True,True,4.5,99.5,99.5,100.0,100.0,74.2,76.0,99.6,80.5,98.8,83.6,92.7,82.1,71.4,15.1,13.6,1,2
52,AL,MARION REGIONAL HOMECARE,35570,True,True,True,True,True,True,4.5,97.9,100.0,100.0,100.0,65.1,82.3,99.3,85.0,86.6,91.0,93.2,83.0,76.5,20.6,15.9,2,1
53,AL,SOUTH BALDWIN REGIONAL HOME HEALTH,36535,True,True,True,True,True,True,3.0,95.7,99.6,99.8,97.6,68.5,76.6,98.5,67.1,66.3,69.2,60.3,65.9,56.1,13.8,15.8,2,2
54,AL,MEDICAL CENTERS HOMECARE,35976,True,True,True,True,True,True,5.0,99.3,100.0,99.9,99.9,97.7,98.1,100.0,82.1,76.7,90.6,95.0,87.9,76.9,15.9,15.6,2,1
55,AL,HEALTH NOW HOME HEALTH,36925,True,False,False,False,False,True,,95.0,100.0,,,,50.0,,,,,,,,,,0,0
56,AL,GREEN COUNTY HEALTH SYSTEM HOME HEALTH AGENCY,35462,True,True,False,True,False,False,3.0,99.1,100.0,100.0,100.0,43.7,47.6,100.0,69.8,50.2,69.2,61.9,58.2,53.9,14.4,19.8,2,2
57,AL,BRYAN W. WHITFIELD MEMORIAL HOSPITAL HOME HEALTH,36732,True,True,True,True,False,True,2.0,88.3,98.3,99.3,100.0,20.7,33.1,95.7,53.9,45.2,64.7,46.8,66.4,49.0,20.9,15.1,1,2
58,AL,HIGHLANDS HOME HEALTH,35768,True,True,True,True,False,True,3.0,99.0,99.2,100.0,100.0,76.2,78.5,100.0,69.6,60.4,69.1,56.4,61.7,46.4,17.2,11.1,2,2
59,AL,EVERGREEN HOME CARE,36401,True,False,False,False,False,True,2.5,86.9,99.6,100.0,97.4,76.7,90.6,98.2,83.0,56.5,69.3,65.2,40.0,61.3,19.5,7.3,2,2
60,AL,SUNCREST HOME HEALTH,35045,True,True,True,True,True,True,4.0,93.6,97.8,99.4,98.7,79.7,77.0,99.8,79.3,75.3,83.8,90.1,83.4,66.9,15.2,11.3,2,3
61,AL,NORTHWEST HOME HEALTH - HALEYVILLE,35565,True,True,True,True,False,True,2.5,94.5,98.8,97.9,100.0,63.0,65.2,99.0,75.5,59.4,70.3,26.8,54.0,47.4,19.2,6.9,2,2
62,AL,JACKSON MEDICAL CENTER HOME HEALTH,36545,True,True,False,False,False,True,3.5,99.1,99.1,100.0,98.8,74.7,69.0,99.1,76.7,67.4,73.7,83.8,68.6,62.5,17.7,17.5,2,2
63,AL,GADSDEN REGIONAL HOME HEALTH,35901,True,True,True,True,False,True,4.5,97.0,99.6,99.2,97.0,90.9,84.4,98.8,77.7,72.5,83.4,83.1,80.9,68.8,15.7,10.5,2,2
64,AL,IVY CREEK HOME HEALTH OF ELMORE,36092,True,True,True,True,False,True,3.5,93.8,99.4,100.0,99.9,47.2,61.3,100.0,77.4,76.3,72.8,86.5,80.7,75.4,16.0,9.4,2,2
65,AL,LAKE MARTIN HOME HEALTH,36853,True,True,True,True,True,True,2.0,90.3,91.8,99.9,99.9,68.4,76.5,98.6,71.1,59.2,74.4,57.3,53.5,62.9,19.4,11.6,2,1
66,AL,"AMEDISYS HH, A LAWRENCE MEDICAL CENTER PARTNER",35650,True,True,True,True,True,True,5.0,96.3,100.0,99.2,97.3,87.4,90.1,99.5,90.2,83.2,95.3,92.7,91.7,73.9,18.1,16.5,2,2
67,AL,HUNTSVILLE HOSPITAL HOMECARE,35802,True,True,True,True,True,True,4.5,98.6,100.0,99.9,100.0,76.1,77.9,99.3,77.8,74.5,83.5,89.4,83.9,64.7,20.0,11.1,1,1
68,AL,KINDRED AT HOME,36420,True,True,True,True,False,True,4.0,97.4,98.2,100.0,99.9,81.5,88.4,96.9,80.3,72.9,84.8,91.6,83.6,70.6,19.0,10.9,1,1
69,AL,EAMC - LANIER HOME HEALTH,36854,True,True,True,True,False,True,5.0,99.1,99.9,100.0,100.0,74.6,70.9,99.7,84.4,77.6,88.1,100.0,84.8,72.9,16.9,10.5,2,2
70,AL,DALE MEDICAL CTR HOME HEALTH,36360,True,True,False,False,True,True,3.5,98.1,96.9,99.7,99.8,77.0,76.8,89.3,75.4,81.7,77.3,76.0,73.0,70.1,18.0,19.8,1,2
71,AL,KELLER HOME CARE,35582,True,True,True,True,True,True,4.5,98.9,99.8,99.9,99.7,85.3,79.6,99.6,81.9,79.4,88.7,92.8,85.1,82.9,20.5,15.3,1,1
72,AL,HOMECARE OF EAST ALABAMA MEDICAL CENTER,36830,True,True,True,True,False,True,5.0,99.2,99.9,100.0,99.9,84.3,86.5,100.0,79.3,76.2,86.5,89.5,89.8,76.1,16.8,11.7,2,1
73,AL,INFIRMARY HOMECARE,36545,True,True,False,True,True,True,4.5,98.2,100.0,100.0,100.0,75.7,72.7,100.0,78.4,77.7,83.3,93.9,87.0,78.4,20.0,14.7,2,2
74,AL,BROOKDALE HOME HEALTH BIRMINGHAM,35121,True,True,True,True,False,False,5.0,99.4,100.0,100.0,99.8,99.5,100.0,99.2,88.2,79.2,100.0,96.1,100.0,91.5,14.5,10.9,2,1
75,AL,LHC HOMECARE OF SOUTH ALABAMA,36467,True,True,True,True,True,True,5.0,99.7,100.0,100.0,99.9,90.7,92.2,100.0,86.5,84.4,95.9,100.0,92.1,89.4,18.5,13.1,1,1
76,AL,COMMUNITY HOME CARE,36078,True,True,True,True,True,True,3.0,96.1,100.0,100.0,100.0,72.5,79.9,100.0,70.0,61.8,64.0,70.8,70.7,57.7,19.0,18.2,1,2
77,AL,RELIABLE HOME HEALTH,36033,True,True,False,False,False,True,2.0,93.1,98.9,100.0,100.0,51.2,61.7,,48.9,48.8,65.8,46.0,48.3,47.7,22.7,13.6,2,2
78,AL,L V STABLER MEMORIAL HOME HEALTH,36037,True,True,False,False,True,True,3.5,93.4,94.8,98.7,85.7,62.9,69.2,95.8,80.2,78.1,83.0,77.8,75.5,75.6,15.4,15.3,2,1
79,AL,ASSOCIATES HOME HEALTH SERVICES,36089,True,True,True,False,False,True,2.0,85.2,97.2,100.0,100.0,73.8,72.6,91.1,59.8,56.6,46.1,50.2,63.5,38.0,27.3,18.6,2,2
80,AL,THE HOSPITAL HOME HEALTH,36049,True,True,False,False,False,True,3.0,95.0,100.0,100.0,99.2,62.9,81.5,100.0,63.2,62.4,65.9,48.5,57.5,50.9,15.2,14.3,2,2
81,AL,"ATMORE COMMUNITY HOME CARE, LLC",36502,True,True,False,False,False,True,2.0,95.7,96.8,100.0,98.9,34.6,49.3,95.9,66.6,54.9,71.7,40.1,28.1,61.8,18.0,16.8,2,2
82,AL,D W MCMILLAN HOME HEALTH,36426,True,True,True,True,True,True,4.5,99.6,99.8,100.0,100.0,78.7,86.0,100.0,79.4,83.1,87.5,91.4,81.9,75.8,17.3,17.4,2,1
83,AL,ST VINCENTS HOME HEALTH OF ST CLAIR COUNTY,35128,True,True,True,True,True,True,3.5,98.9,98.6,100.0,99.6,69.4,78.7,99.9,73.1,68.8,76.9,71.7,75.6,56.4,18.9,11.2,1,2
84,AL,NORTHWEST HOME HEALTH,35653,True,True,True,True,False,True,4.0,95.8,100.0,99.5,100.0,52.0,66.1,100.0,86.0,84.3,76.0,67.6,65.6,75.7,13.3,13.6,2,2
85,AL,PRIME HOME HEALTH OF LEE COUNTY,36801,True,True,True,True,True,True,2.5,89.9,98.2,100.0,98.7,81.0,83.3,97.0,67.2,60.2,61.7,65.4,55.8,45.6,16.8,14.5,2,2
86,AL,THOMAS HOME HEATLH,36532,True,True,True,True,True,True,5.0,98.6,99.9,100.0,100.0,81.6,81.6,99.6,84.3,89.4,86.1,84.9,86.3,78.4,15.4,11.9,2,2
87,AL,ST VINCENT'S HOME HEALTH OF JEFFERSON COUNTY,35242,True,True,True,True,True,True,3.5,98.3,99.2,99.9,99.4,76.5,84.8,99.8,69.2,61.9,73.7,68.3,66.2,54.2,16.5,10.6,2,1
88,AL,KINDRED AT HOME,36207,True,True,True,True,True,True,4.0,94.3,99.5,100.0,97.7,84.1,88.5,85.4,81.0,72.9,81.9,74.0,78.1,58.6,17.9,10.7,1,2
89,AL,KINDRED AT HOME,35150,True,True,True,True,True,True,4.0,97.2,99.6,100.0,100.0,83.7,87.1,97.2,78.6,69.0,82.6,81.0,84.5,62.8,20.3,15.5,1,2
90,AL,COMFORT CARE HOME HEALTH OF ALABASTER,35007,True,True,True,True,True,True,2.5,92.8,96.7,98.5,97.9,71.0,81.8,98.8,65.1,62.7,70.8,71.4,62.6,53.5,19.3,9.8,1,1
91,AL,AMEDISYS HOME HEALTH,35173,True,True,True,True,True,True,4.0,99.1,99.5,99.8,98.8,77.3,85.8,95.7,78.1,69.9,81.7,81.2,85.9,65.6,17.4,19.7,2,1
92,AL,ALACARE HOME HEALTH & HOSPICE (MOBILE),36609,True,True,True,True,True,True,4.0,87.7,99.7,100.0,100.0,77.0,76.2,100.0,80.5,72.8,82.3,87.6,88.5,65.9,17.0,8.8,2,2
93,AL,BAPTIST CITIZENS HOME HEALTH CARE,35160,True,True,False,True,True,True,4.0,95.5,92.1,100.0,98.5,58.7,55.9,99.4,86.6,85.8,90.6,88.5,85.5,82.5,23.4,12.1,2,2
94,AL,AMEDISYS HOME HEALTH OF OPELIKA,36801,True,True,True,True,True,True,4.0,96.1,98.2,99.5,81.3,80.5,80.3,90.1,72.7,75.7,74.3,79.2,89.2,65.7,17.7,15.7,1,2
95,AL,AMEDISYS HOME HEALTH OF FORT PAYNE,35967,True,True,True,True,True,True,5.0,98.2,99.9,99.4,92.5,98.2,94.7,99.6,86.4,78.3,84.0,90.0,87.7,78.6,16.6,13.6,2,2
96,AL,AMEDISYS HOME HEALTH,36303,True,True,False,True,True,True,4.0,97.4,98.9,98.5,93.9,85.0,76.0,96.0,76.7,69.3,77.9,78.0,79.4,71.2,20.8,15.3,2,1
97,AL,ENCOMPASS HOME HEALTH OF ALABAMA,36854,True,True,True,True,True,True,4.0,95.8,98.7,100.0,100.0,65.4,77.2,95.7,76.0,70.6,78.6,84.1,77.9,73.0,9.0,16.3,2,2
98,AL,KINDRED AT HOME,35806,True,True,True,True,True,True,4.0,92.8,98.2,100.0,91.1,81.0,81.6,85.6,74.9,75.9,80.1,82.0,86.6,66.4,17.0,14.3,2,1
99,AL,AMEDISYS HOME HEALTH OF MONROEVILLE,36460,True,True,True,True,False,True,5.0,98.0,100.0,98.9,93.6,96.6,93.4,99.2,96.8,87.3,99.0,98.2,100.0,86.3,22.1,19.2,1,2
100,AL,KINDRED AT HOME,36303,True,True,True,True,True,True,4.5,98.8,99.2,100.0,99.7,89.5,88.9,99.5,75.6,69.3,85.8,87.6,87.4,67.2,16.0,11.8,2,1
101,AL,AMEDISYS HOME HEALTH OF FLORENCE,35630,True,True,True,True,True,True,3.5,96.0,99.8,99.5,98.9,77.6,79.9,99.3,74.1,69.5,82.3,81.6,74.9,61.3,19.1,10.8,1,2
102,AL,KINDRED AT HOME,35045,True,True,True,True,True,True,3.0,97.2,88.0,100.0,99.7,81.4,86.7,95.1,72.1,70.3,74.6,69.0,75.8,57.8,21.5,8.5,1,2
103,AL,KINDRED AT HOME,35125,True,True,True,True,True,True,3.5,90.4,99.6,100.0,96.6,79.9,78.0,99.4,75.6,76.1,83.3,78.2,75.2,64.2,16.6,10.3,2,2
104,AL,KINDRED AT HOME,36609,True,True,True,True,True,True,3.5,98.2,99.7,100.0,99.5,94.7,96.5,99.5,68.1,65.7,74.6,70.2,73.6,52.3,18.9,8.8,2,2
105,AL,CP HOME CARE VANCE LLC,35490,True,True,True,True,True,True,1.5,79.6,95.9,99.6,97.9,48.3,59.1,93.6,52.6,48.0,45.6,41.8,45.9,34.9,,,0,0
106,AL,KINDRED AT HOME,35501,True,True,True,True,True,True,4.5,97.3,99.4,100.0,94.5,90.0,87.1,97.0,80.7,73.8,87.1,84.8,85.8,69.3,14.1,12.1,2,1
107,AL,KINDRED AT HOME,35055,True,True,True,True,True,True,3.5,94.1,93.3,100.0,96.9,86.7,89.9,92.1,77.2,73.5,81.5,73.6,76.4,65.3,19.4,15.3,2,1
108,AL,"WOODLAND HOME HEALTH SERVICES CRMC, LLC",35055,True,True,True,True,True,True,3.0,96.7,98.7,99.7,99.4,74.5,80.8,99.0,66.1,59.6,75.7,69.4,66.3,57.8,14.4,12.0,2,2
109,AL,BROOKWOOD HOME HEALTH LLC,35211,True,True,True,True,True,True,3.0,96.1,95.7,99.4,99.2,81.4,85.0,95.3,75.2,68.7,72.4,63.7,76.5,64.5,13.9,5.5,2,2
110,AL,COMFORT CARE HOME HEALTH OF NORTH ALABAMA,35757,True,True,True,True,True,True,3.0,84.9,98.2,100.0,98.2,68.5,71.1,99.0,75.7,75.2,78.2,78.4,65.5,60.4,22.8,13.7,2,1
111,AL,"SHOALS HOME SERVICES, LLC",35630,True,True,True,True,True,True,3.5,93.8,94.4,99.6,97.7,81.6,84.4,92.9,81.5,75.7,87.0,73.5,77.1,58.1,22.6,9.3,2,2
112,AL,"PROHEALTH OF NORTHEAST ALABAMA, LLC",35960,True,True,True,True,True,True,3.0,90.0,92.4,99.4,100.0,56.2,64.3,86.4,79.8,74.1,75.5,63.7,70.6,52.5,14.7,8.2,2,2
113,AL,"PROHEALTH OF NORTH CENTRAL ALABAMA, LLC",35121,True,True,True,True,True,True,2.0,88.9,90.0,100.0,99.6,61.4,73.2,84.5,62.2,65.2,61.9,53.5,50.9,49.2,23.0,10.2,0,0
114,AL,"PROHEALTH-GULF COAST, LLC",36532,True,True,True,True,True,True,4.5,91.1,97.4,99.4,99.5,81.6,66.1,100.0,77.4,100.0,94.2,82.3,91.2,47.7,11.0,10.7,0,0
115,AL,FIVE POINTS HOME HEALTH,35244,True,True,True,True,True,True,4.0,100.0,100.0,100.0,97.4,76.9,76.9,,74.0,72.9,84.2,58.2,,32.9,16.6,17.0,0,0
116,AL,AMEDISYS HOME HEALTH OF TUSCALOOSA,35406,True,True,True,True,True,True,4.0,95.9,99.4,99.2,94.5,81.1,79.3,97.7,79.1,69.4,81.2,76.5,74.9,64.6,17.3,10.7,1,2
117,AL,AMEDISYS HOME HEALTH OF ANNISTON,36205,True,True,True,True,True,True,4.0,97.7,99.5,98.9,95.8,80.2,81.9,96.5,80.8,75.4,84.3,83.7,79.9,70.4,18.9,11.9,1,1
118,AL,KINDRED AT HOME,36867,True,True,True,True,True,True,4.0,97.5,99.7,100.0,99.8,85.4,84.5,100.0,72.6,68.8,79.1,77.5,79.6,68.5,12.0,16.7,2,2
119,AL,AMEDISYS HOME HEALTH OF MONTGOMERY,36109,True,True,True,True,True,True,3.5,95.8,99.8,97.9,88.3,83.6,71.4,96.5,75.7,69.3,76.6,69.0,78.4,60.7,18.3,12.6,1,2
120,AL,AMEDISYS HOME HEALTH OF SELMA,36701,True,True,True,True,True,True,4.5,97.5,99.8,99.6,94.5,79.9,73.2,99.2,85.5,75.8,84.2,86.8,88.9,67.0,18.2,13.8,1,1
121,AL,MONROE CO HOSP PROGRESSIVE HOM,36461,True,True,True,False,False,True,2.0,93.8,98.4,99.3,98.8,59.9,65.6,94.6,57.1,48.7,56.6,60.0,57.2,55.9,15.0,17.8,2,1
122,AL,ALACARE HOME HEALTH AND HOSPICE,36081,True,True,True,True,True,True,4.0,91.5,99.3,100.0,99.8,78.5,81.1,99.2,78.7,73.7,82.4,87.1,83.3,73.8,18.0,13.2,1,1
123,AL,ALACARE HOME HEALTH & HOSPICE,35601,True,True,True,True,True,True,4.5,95.1,99.7,100.0,99.8,84.6,87.1,99.9,82.4,77.9,83.2,90.2,83.5,77.3,18.6,12.1,1,1
124,AL,AMEDISYS HOME HEALTH OF WALKER,35501,True,True,True,True,True,True,4.5,97.4,98.0,99.6,98.5,92.2,93.6,88.7,81.3,76.5,86.4,78.7,82.9,65.3,18.9,9.5,1,2
125,AL,AMEDISYS HOME HEALTH OF BREWTON,36426,True,True,True,False,False,True,5.0,98.4,99.7,99.4,97.5,95.9,94.3,99.1,93.5,77.7,97.1,94.9,100.0,88.7,17.8,18.0,2,2
126,AL,AUTAUGA COUNTY HOME CARE,36067,True,True,False,False,True,True,2.5,96.1,99.4,99.6,97.5,66.0,67.1,99.4,73.4,53.0,65.9,66.8,62.8,53.5,,,0,0
