,hospital_name,state,readmission_ratio,predicted_rate,expected_rate,zip
27,MONROE COUNTY HOSPITAL,AL,1.0429,19.2,18.4,36460
28,MONROE COUNTY HOSPITAL,AL,1.1033,15.5,14.1,36461
29,MONROE COUNTY HOSPITAL,AL,1.1033,15.5,14.1,36460
30,JACKSON MEDICAL CENTER,AL,0.9648,12.6,13.0,36545
31,JACKSON MEDICAL CENTER,AL,0.9322,13.4,14.4,36545
32,JACKSON MEDICAL CENTER,AL,1.0065,16.0,15.9,36545
33,CRESTWOOD MEDICAL CENTER,AL,1.0453,15.8,15.1,35801
34,CRESTWOOD MEDICAL CENTER,AL,1.0309,17.7,17.2,35801
35,CRESTWOOD MEDICAL CENTER,AL,1.2767,5.2,4.0,35801
36,CRESTWOOD MEDICAL CENTER,AL,1.1015,21.9,19.9,35801
37,CRESTWOOD MEDICAL CENTER,AL,0.9809,14.8,15.1,35801
38,RUSSELLVILLE HOSPITAL,AL,1.0822,6.1,5.6,35653
39,RUSSELLVILLE HOSPITAL,AL,1.0507,19.8,18.9,35653
40,RUSSELLVILLE HOSPITAL,AL,0.9543,16.3,17.1,35653
41,RUSSELLVILLE HOSPITAL,AL,1.1105,17.1,15.4,35653
42,ELIZA COFFEE MEMORIAL HOSPITAL,AL,1.1851,5.1,4.3,35630
43,ELIZA COFFEE MEMORIAL HOSPITAL,AL,0.9935,18.1,18.2,35630
44,ELIZA COFFEE MEMORIAL HOSPITAL,AL,1.0014,20.8,20.8,35630
45,ELIZA COFFEE MEMORIAL HOSPITAL,AL,1.1007,14.4,13.1,35630
46,ELIZA COFFEE MEMORIAL HOSPITAL,AL,1.0529,17.1,16.2,35630
47,ELIZA COFFEE MEMORIAL HOSPITAL,AL,1.0417,15.3,14.7,35630
48,SHELBY BAPTIST MEDICAL CENTER,AL,1.0698,13.9,13.0,35007
49,SHELBY BAPTIST MEDICAL CENTER,AL,1.0333,4.6,4.5,35007
50,SHELBY BAPTIST MEDICAL CENTER,AL,0.9046,14.7,16.2,35007
51,SHELBY BAPTIST MEDICAL CENTER,AL,1.0438,14.1,13.5,35007
52,SHELBY BAPTIST MEDICAL CENTER,AL,0.9958,21.5,21.6,35007
53,SHELBY BAPTIST MEDICAL CENTER,AL,0.9516,17.4,18.3,35007
54,CULLMAN REGIONAL MEDICAL CENTER,AL,0.9239,16.8,18.2,35056
55,CULLMAN REGIONAL MEDICAL CENTER,AL,0.9239,16.8,18.2,35056
56,CULLMAN REGIONAL MEDICAL CENTER,AL,1.1613,5.1,4.4,35056
57,CULLMAN REGIONAL MEDICAL CENTER,AL,1.1613,5.1,4.4,35056
58,CULLMAN REGIONAL MEDICAL CENTER,AL,0.996,15.0,15.0,35056
59,CULLMAN REGIONAL MEDICAL CENTER,AL,0.996,15.0,15.0,35056
60,CULLMAN REGIONAL MEDICAL CENTER,AL,0.9568,15.0,15.7,35056
61,CULLMAN REGIONAL MEDICAL CENTER,AL,0.9568,15.0,15.7,35056
62,CULLMAN REGIONAL MEDICAL CENTER,AL,1.0895,21.6,19.8,35056
63,CULLMAN REGIONAL MEDICAL CENTER,AL,1.0895,21.6,19.8,35056
64,STRINGFELLOW MEMORIAL HOSPITAL,AL,1.0816,5.1,4.7,36207
65,STRINGFELLOW MEMORIAL HOSPITAL,AL,0.9959,17.8,17.9,36207
66,STRINGFELLOW MEMORIAL HOSPITAL,AL,1.0,17.9,17.9,36207
67,STRINGFELLOW MEMORIAL HOSPITAL,AL,1.0431,22.3,21.4,36207
68,STRINGFELLOW MEMORIAL HOSPITAL,AL,1.0956,17.7,16.1,36207
69,MARION REGIONAL MEDICAL CENTER,AL,0.9555,18.3,19.1,35570
70,MARION REGIONAL MEDICAL CENTER,AL,0.9218,15.3,16.6,35570
71,MARION REGIONAL MEDICAL CENTER,AL,0.93,13.6,14.6,35570
72,RIVERVIEW REGIONAL MEDICAL CENTER,AL,1.0524,20.1,19.1,35901
73,RIVERVIEW REGIONAL MEDICAL CENTER,AL,0.9548,16.7,17.5,35901
74,RIVERVIEW REGIONAL MEDICAL CENTER,AL,1.1961,27.5,23.0,35901
75,RIVERVIEW REGIONAL MEDICAL CENTER,AL,0.9605,14.4,15.0,35901
76,RIVERVIEW REGIONAL MEDICAL CENTER,AL,1.0075,4.4,4.3,35901
77,RIVERVIEW REGIONAL MEDICAL CENTER,AL,1.0178,15.6,15.4,35901
78,FLOWERS HOSPITAL,AL,0.894,14.0,15.7,36301
79,FLOWERS HOSPITAL,AL,0.8943,11.7,13.1,36301
80,FLOWERS HOSPITAL,AL,0.9021,16.7,18.5,36301
81,FLOWERS HOSPITAL,AL,0.9232,19.0,20.6,36301
82,FLOWERS HOSPITAL,AL,1.0383,14.8,14.3,36301
83,FLOWERS HOSPITAL,AL,1.1686,5.0,4.2,36301
84,ABRAZO CENTRAL CAMPUS,AZ,0.9867,13.4,13.6,85015
85,ABRAZO CENTRAL CAMPUS,AZ,1.037,17.2,16.6,85015
86,ABRAZO CENTRAL CAMPUS,AZ,0.9446,14.3,15.2,85015
87,ABRAZO CENTRAL CAMPUS,AZ,1.0435,22.7,21.8,85015
88,ABRAZO CENTRAL CAMPUS,AZ,1.0052,19.5,19.4,85015
89,ABRAZO CENTRAL CAMPUS,AZ,0.9562,4.0,4.2,85015
90,BANNER PAYSON MEDICAL CENTER,AZ,0.9492,17.7,18.6,85541
91,BANNER PAYSON MEDICAL CENTER,AZ,0.998,16.6,16.7,85541
92,BANNER PAYSON MEDICAL CENTER,AZ,0.9661,16.5,17.1,85541
93,BANNER PAYSON MEDICAL CENTER,AZ,1.0382,15.3,14.8,85541
94,BANNER PAYSON MEDICAL CENTER,AZ,1.0148,4.5,4.5,85541
95,CHANDLER REGIONAL MEDICAL CENTER,AZ,0.7624,10.1,13.3,85224
96,CHANDLER REGIONAL MEDICAL CENTER,AZ,0.7624,10.1,13.3,85224
97,CHANDLER REGIONAL MEDICAL CENTER,AZ,0.9465,15.7,16.6,85224
98,CHANDLER REGIONAL MEDICAL CENTER,AZ,0.9465,15.7,16.6,85224
99,CHANDLER REGIONAL MEDICAL CENTER,AZ,0.8929,16.8,18.9,85224
100,CHANDLER REGIONAL MEDICAL CENTER,AZ,0.8929,16.8,18.9,85224
101,CHANDLER REGIONAL MEDICAL CENTER,AZ,0.9406,13.9,14.8,85224
102,CHANDLER REGIONAL MEDICAL CENTER,AZ,0.9406,13.9,14.8,85224
103,CHANDLER REGIONAL MEDICAL CENTER,AZ,0.9392,19.6,20.9,85224
104,CHANDLER REGIONAL MEDICAL CENTER,AZ,0.9392,19.6,20.9,85224
105,CHANDLER REGIONAL MEDICAL CENTER,AZ,1.0343,4.6,4.4,85224
106,CHANDLER REGIONAL MEDICAL CENTER,AZ,1.0343,4.6,4.4,85224
107,ST LUKE'S MEDICAL CENTER,AZ,0.8469,3.1,3.7,85006
108,ST LUKE'S MEDICAL CENTER,AZ,1.0271,18.9,18.4,85006
109,ST LUKE'S MEDICAL CENTER,AZ,1.0322,14.5,14.0,85006
110,ST LUKE'S MEDICAL CENTER,AZ,0.9849,20.5,20.8,85006
111,ST LUKE'S MEDICAL CENTER,AZ,0.9268,11.4,12.3,85006
112,ST LUKE'S MEDICAL CENTER,AZ,0.9911,14.4,14.5,85006
113,KINGMAN REGIONAL MEDICAL CENTER,AZ,1.0031,12.6,12.5,86409
114,KINGMAN REGIONAL MEDICAL CENTER,AZ,1.1346,25.5,22.5,86409
115,KINGMAN REGIONAL MEDICAL CENTER,AZ,1.1914,20.1,16.9,86409
116,KINGMAN REGIONAL MEDICAL CENTER,AZ,1.0595,16.0,15.1,86409
117,KINGMAN REGIONAL MEDICAL CENTER,AZ,1.0704,20.2,18.8,86409
118,KINGMAN REGIONAL MEDICAL CENTER,AZ,1.1234,5.5,4.9,86409
119,BANNER BOSWELL MEDICAL CENTER,AZ,0.9767,21.3,21.8,85351
120,BANNER BOSWELL MEDICAL CENTER,AZ,0.9907,19.9,20.1,85351
121,BANNER BOSWELL MEDICAL CENTER,AZ,0.9669,16.8,17.4,85351
122,BANNER BOSWELL MEDICAL CENTER,AZ,0.8898,11.5,12.9,85351
123,BANNER BOSWELL MEDICAL CENTER,AZ,0.9631,4.7,4.9,85351
124,BANNER BOSWELL MEDICAL CENTER,AZ,0.9481,14.5,15.3,85351
125,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,0.9894,19.0,19.2,85901
126,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,0.9894,19.0,19.2,85933
127,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,0.9894,19.0,19.2,85901
128,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,0.9249,4.0,4.3,85901
129,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,0.9249,4.0,4.3,85933
130,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,0.9249,4.0,4.3,85901
131,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,0.8828,18.8,21.3,85901
132,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,0.8828,18.8,21.3,85933
133,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,0.8828,18.8,21.3,85901
134,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,0.8991,14.3,15.9,85901
135,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,0.8991,14.3,15.9,85933
136,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,0.8991,14.3,15.9,85901
137,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,0.9812,13.3,13.6,85901
138,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,0.9812,13.3,13.6,85933
139,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,0.9812,13.3,13.6,85901
140,BANNER DESERT MEDICAL CENTER,AZ,1.0218,15.0,14.7,85202
141,BANNER DESERT MEDICAL CENTER,AZ,1.0218,15.0,14.7,85202
142,BANNER DESERT MEDICAL CENTER,AZ,1.0218,15.0,14.7,85202
143,BANNER DESERT MEDICAL CENTER,AZ,1.1059,21.3,19.3,85202
144,BANNER DESERT MEDICAL CENTER,AZ,1.1059,21.3,19.3,85202
145,BANNER DESERT MEDICAL CENTER,AZ,1.1059,21.3,19.3,85202
146,BANNER DESERT MEDICAL CENTER,AZ,1.0543,21.6,20.5,85202
147,BANNER DESERT MEDICAL CENTER,AZ,1.0543,21.6,20.5,85202
148,BANNER DESERT MEDICAL CENTER,AZ,1.0543,21.6,20.5,85202
149,BANNER DESERT MEDICAL CENTER,AZ,0.9764,16.2,16.6,85202
150,BANNER DESERT MEDICAL CENTER,AZ,0.9764,16.2,16.6,85202
151,BANNER DESERT MEDICAL CENTER,AZ,0.9764,16.2,16.6,85202
152,BANNER DESERT MEDICAL CENTER,AZ,1.034,12.9,12.5,85202
153,BANNER DESERT MEDICAL CENTER,AZ,1.034,12.9,12.5,85202
154,BANNER DESERT MEDICAL CENTER,AZ,1.034,12.9,12.5,85202
155,BANNER DESERT MEDICAL CENTER,AZ,1.0406,4.2,4.0,85202
156,BANNER DESERT MEDICAL CENTER,AZ,1.0406,4.2,4.0,85202
157,BANNER DESERT MEDICAL CENTER,AZ,1.0406,4.2,4.0,85202
158,HAVASU REGIONAL MEDICAL CENTER,AZ,0.9981,13.6,13.7,86403
159,HAVASU REGIONAL MEDICAL CENTER,AZ,0.9757,20.2,20.7,86403
160,HAVASU REGIONAL MEDICAL CENTER,AZ,0.9875,17.9,18.2,86403
161,HAVASU REGIONAL MEDICAL CENTER,AZ,1.0421,14.4,13.8,86403
162,HAVASU REGIONAL MEDICAL CENTER,AZ,1.066,4.7,4.4,86403
163,HAVASU REGIONAL MEDICAL CENTER,AZ,0.9758,15.9,16.3,86403
164,NORTHWEST MEDICAL CENTER,AZ,0.9135,17.7,19.4,85029
165,NORTHWEST MEDICAL CENTER,AZ,0.9135,17.7,19.4,85029
166,NORTHWEST MEDICAL CENTER,AZ,0.9135,17.7,19.4,85018
167,NORTHWEST MEDICAL CENTER,AZ,1.2526,4.9,3.9,85029
168,NORTHWEST MEDICAL CENTER,AZ,1.2526,4.9,3.9,85029
169,NORTHWEST MEDICAL CENTER,AZ,1.2526,4.9,3.9,85018
170,NORTHWEST MEDICAL CENTER,AZ,1.0262,15.9,15.5,85029
171,NORTHWEST MEDICAL CENTER,AZ,1.0262,15.9,15.5,85029
172,NORTHWEST MEDICAL CENTER,AZ,1.0262,15.9,15.5,85018
173,NORTHWEST MEDICAL CENTER,AZ,0.995,13.3,13.4,85029
174,NORTHWEST MEDICAL CENTER,AZ,0.995,13.3,13.4,85029
175,NORTHWEST MEDICAL CENTER,AZ,0.995,13.3,13.4,85018
176,NORTHWEST MEDICAL CENTER,AZ,0.9994,18.1,18.1,85029
177,NORTHWEST MEDICAL CENTER,AZ,0.9994,18.1,18.1,85029
178,NORTHWEST MEDICAL CENTER,AZ,0.9994,18.1,18.1,85018
179,NORTHWEST MEDICAL CENTER,AZ,0.95,11.0,11.5,85029
180,NORTHWEST MEDICAL CENTER,AZ,0.95,11.0,11.5,85029
181,NORTHWEST MEDICAL CENTER,AZ,0.95,11.0,11.5,85018
182,NEA BAPTIST MEMORIAL HOSPITAL,AR,1.0873,22.4,20.6,72401
183,NEA BAPTIST MEMORIAL HOSPITAL,AR,1.0572,14.5,13.7,72401
184,NEA BAPTIST MEMORIAL HOSPITAL,AR,1.0075,12.2,12.1,72401
185,NEA BAPTIST MEMORIAL HOSPITAL,AR,0.9954,17.8,17.9,72401
186,NEA BAPTIST MEMORIAL HOSPITAL,AR,1.0899,16.9,15.5,72401
187,NEA BAPTIST MEMORIAL HOSPITAL,AR,1.1615,5.0,4.3,72401
188,ST BERNARDS MEDICAL CENTER,AR,0.8956,3.8,4.2,72401
189,ST BERNARDS MEDICAL CENTER,AR,1.095,15.1,13.8,72401
190,ST BERNARDS MEDICAL CENTER,AR,1.136,22.5,19.8,72401
191,ST BERNARDS MEDICAL CENTER,AR,1.2149,25.7,21.2,72401
192,ST BERNARDS MEDICAL CENTER,AR,1.0939,14.3,13.1,72401
193,ST BERNARDS MEDICAL CENTER,AR,1.1029,18.5,16.8,72401
194,ARKANSAS METHODIST MEDICAL CENTER,AR,1.0432,17.1,16.3,72450
195,ARKANSAS METHODIST MEDICAL CENTER,AR,1.0432,17.1,16.3,72450
196,ARKANSAS METHODIST MEDICAL CENTER,AR,1.1163,19.8,17.8,72450
197,ARKANSAS METHODIST MEDICAL CENTER,AR,1.1163,19.8,17.8,72450
198,ARKANSAS METHODIST MEDICAL CENTER,AR,1.0834,4.6,4.2,72450
199,ARKANSAS METHODIST MEDICAL CENTER,AR,1.0834,4.6,4.2,72450
200,ARKANSAS METHODIST MEDICAL CENTER,AR,1.1151,17.5,15.7,72450
201,ARKANSAS METHODIST MEDICAL CENTER,AR,1.1151,17.5,15.7,72450
202,ARKANSAS METHODIST MEDICAL CENTER,AR,1.1273,24.1,21.4,72450
203,ARKANSAS METHODIST MEDICAL CENTER,AR,1.1273,24.1,21.4,72450
204,FIVE RIVERS MEDICAL CENTER,AR,1.0106,14.3,14.1,72455
205,FIVE RIVERS MEDICAL CENTER,AR,0.9981,14.8,14.8,72455
206,FIVE RIVERS MEDICAL CENTER,AR,1.016,19.3,19.0,72455
207,ABRAZO ARROWHEAD CAMPUS,AZ,1.0041,14.7,14.7,85308
208,ABRAZO ARROWHEAD CAMPUS,AZ,0.9503,20.5,21.6,85308
209,ABRAZO ARROWHEAD CAMPUS,AZ,0.904,15.4,17.1,85308
210,ABRAZO ARROWHEAD CAMPUS,AZ,0.9176,3.8,4.2,85308
211,ABRAZO ARROWHEAD CAMPUS,AZ,1.0862,15.6,14.4,85308
212,ABRAZO ARROWHEAD CAMPUS,AZ,0.964,17.8,18.5,85308
213,BANNER HEART HOSPITAL,AZ,0.8829,12.3,14.0,85206
214,BANNER HEART HOSPITAL,AZ,0.8829,12.3,14.0,85206
215,BANNER HEART HOSPITAL,AZ,0.9295,11.9,12.8,85206
216,BANNER HEART HOSPITAL,AZ,0.9295,11.9,12.8,85206
217,BANNER HEART HOSPITAL,AZ,1.0468,18.6,17.7,85206
218,BANNER HEART HOSPITAL,AZ,1.0468,18.6,17.7,85206
219,BANNER HEART HOSPITAL,AZ,0.9534,18.6,19.6,85206
220,BANNER HEART HOSPITAL,AZ,0.9534,18.6,19.6,85206
221,BANNER HEART HOSPITAL,AZ,0.8621,17.8,20.6,85206
222,BANNER HEART HOSPITAL,AZ,0.8621,17.8,20.6,85206
223,BANNER ESTRELLA MEDICAL CENTER,AZ,0.9838,19.5,19.8,85037
224,BANNER ESTRELLA MEDICAL CENTER,AZ,0.9504,15.2,16.0,85037
225,BANNER ESTRELLA MEDICAL CENTER,AZ,0.8758,21.0,23.9,85037
226,BANNER ESTRELLA MEDICAL CENTER,AZ,0.96,17.0,17.7,85037
227,BANNER ESTRELLA MEDICAL CENTER,AZ,1.195,5.6,4.7,85037
228,VALLEY VIEW MEDICAL CENTER,AZ,0.9478,13.1,13.9,86426
229,VALLEY VIEW MEDICAL CENTER,AZ,1.0358,17.4,16.8,86426
230,VALLEY VIEW MEDICAL CENTER,AZ,1.0251,22.8,22.3,86426
231,VALLEY VIEW MEDICAL CENTER,AZ,0.8903,3.7,4.1,86426
232,VALLEY VIEW MEDICAL CENTER,AZ,0.9823,18.3,18.6,86426
233,RIVERSIDE COMMUNITY HOSPITAL,CA,0.9217,3.9,4.2,92501
234,RIVERSIDE COMMUNITY HOSPITAL,CA,1.0893,16.8,15.4,92501
235,RIVERSIDE COMMUNITY HOSPITAL,CA,0.9843,13.6,13.8,92501
236,RIVERSIDE COMMUNITY HOSPITAL,CA,0.981,21.1,21.5,92501
237,RIVERSIDE COMMUNITY HOSPITAL,CA,1.1049,20.5,18.5,92501
238,RIVERSIDE COMMUNITY HOSPITAL,CA,1.0504,21.3,20.3,92501
239,PARADISE VALLEY HOSPITAL,CA,1.0068,21.4,21.2,91950
240,PARADISE VALLEY HOSPITAL,CA,1.0832,25.2,23.3,91950
241,PARADISE VALLEY HOSPITAL,CA,1.1785,5.4,4.6,91950
242,PARADISE VALLEY HOSPITAL,CA,0.9836,20.9,21.3,91950
243,PARADISE VALLEY HOSPITAL,CA,0.9842,23.3,23.6,91950
244,MAD RIVER COMMUNITY HOSPITAL,CA,1.0197,18.1,17.8,95521
245,MAD RIVER COMMUNITY HOSPITAL,CA,1.0058,17.0,16.9,95521
246,MAD RIVER COMMUNITY HOSPITAL,CA,0.9435,13.0,13.8,95521
247,SILOAM SPRINGS REGIONAL HOSPITAL,AR,1.0407,16.2,15.5,72761
248,SILOAM SPRINGS REGIONAL HOSPITAL,AR,1.1433,4.7,4.1,72761
249,SILOAM SPRINGS REGIONAL HOSPITAL,AR,1.0181,14.5,14.3,72761
250,SILOAM SPRINGS REGIONAL HOSPITAL,AR,1.0644,21.1,19.8,72761
251,JOHNSON REGIONAL MEDICAL CENTER,AR,0.9719,14.7,15.2,72830
252,JOHNSON REGIONAL MEDICAL CENTER,AR,0.9262,12.2,13.1,72830
253,JOHNSON REGIONAL MEDICAL CENTER,AR,1.1613,20.6,17.7,72830
254,JOHNSON REGIONAL MEDICAL CENTER,AR,0.9655,3.6,3.7,72830
255,MENA REGIONAL HEALTH SYSTEM,AR,1.0089,18.5,18.3,71953
256,MENA REGIONAL HEALTH SYSTEM,AR,0.9737,16.4,16.9,71953
257,MENA REGIONAL HEALTH SYSTEM,AR,1.0072,13.5,13.4,71953
258,JEFFERSON REGIONAL MEDICAL CENTER,AR,1.0972,12.6,11.5,71603
259,JEFFERSON REGIONAL MEDICAL CENTER,AR,1.0972,12.6,11.5,71603
260,JEFFERSON REGIONAL MEDICAL CENTER,AR,1.0233,21.0,20.5,71603
261,JEFFERSON REGIONAL MEDICAL CENTER,AR,1.0233,21.0,20.5,71603
262,JEFFERSON REGIONAL MEDICAL CENTER,AR,1.1012,17.8,16.2,71603
263,JEFFERSON REGIONAL MEDICAL CENTER,AR,1.1012,17.8,16.2,71603
264,JEFFERSON REGIONAL MEDICAL CENTER,AR,0.9661,18.8,19.5,71603
265,JEFFERSON REGIONAL MEDICAL CENTER,AR,0.9661,18.8,19.5,71603
266,JEFFERSON REGIONAL MEDICAL CENTER,AR,0.9945,4.4,4.4,71603
267,JEFFERSON REGIONAL MEDICAL CENTER,AR,0.9945,4.4,4.4,71603
268,JEFFERSON REGIONAL MEDICAL CENTER,AR,0.9707,16.1,16.6,71603
269,JEFFERSON REGIONAL MEDICAL CENTER,AR,0.9707,16.1,16.6,71603
270,CHEROKEE MEDICAL CENTER,AL,0.9636,17.5,18.2,35960
271,CHEROKEE MEDICAL CENTER,AL,0.9795,21.6,22.1,35960
272,CHEROKEE MEDICAL CENTER,AL,0.9013,14.6,16.2,35960
273,FLAGSTAFF MEDICAL CENTER,AZ,0.8247,13.4,16.2,86001
274,FLAGSTAFF MEDICAL CENTER,AZ,0.8835,15.9,17.9,86001
275,FLAGSTAFF MEDICAL CENTER,AZ,0.852,17.2,20.2,86001
276,FLAGSTAFF MEDICAL CENTER,AZ,0.959,13.5,14.0,86001
277,FLAGSTAFF MEDICAL CENTER,AZ,0.9526,10.7,11.2,86001
278,FLAGSTAFF MEDICAL CENTER,AZ,0.8317,3.5,4.3,86001
279,PALOMAR HEALTH DOWNTOWN CAMPUS,CA,1.0173,19.8,19.4,92025
280,PALOMAR HEALTH DOWNTOWN CAMPUS,CA,1.0173,19.8,19.4,92025
281,PALOMAR HEALTH DOWNTOWN CAMPUS,CA,1.0994,17.1,15.6,92025
282,PALOMAR HEALTH DOWNTOWN CAMPUS,CA,1.0994,17.1,15.6,92025
283,PALOMAR HEALTH DOWNTOWN CAMPUS,CA,0.9519,3.8,4.0,92025
284,PALOMAR HEALTH DOWNTOWN CAMPUS,CA,0.9519,3.8,4.0,92025
285,PALOMAR HEALTH DOWNTOWN CAMPUS,CA,0.9978,19.0,19.1,92025
286,PALOMAR HEALTH DOWNTOWN CAMPUS,CA,0.9978,19.0,19.1,92025
287,PALOMAR HEALTH DOWNTOWN CAMPUS,CA,1.0124,13.8,13.6,92025
288,PALOMAR HEALTH DOWNTOWN CAMPUS,CA,1.0124,13.8,13.6,92025
289,PALOMAR HEALTH DOWNTOWN CAMPUS,CA,0.8918,13.8,15.5,92025
290,PALOMAR HEALTH DOWNTOWN CAMPUS,CA,0.8918,13.8,15.5,92025
291,PALMDALE REGIONAL MEDICAL CENTER,CA,0.9202,16.8,18.2,93551
292,PALMDALE REGIONAL MEDICAL CENTER,CA,0.9202,16.8,18.2,93551
293,PALMDALE REGIONAL MEDICAL CENTER,CA,1.0256,20.5,20.0,93551
294,PALMDALE REGIONAL MEDICAL CENTER,CA,1.0256,20.5,20.0,93551
295,PALMDALE REGIONAL MEDICAL CENTER,CA,1.078,20.0,18.5,93551
296,PALMDALE REGIONAL MEDICAL CENTER,CA,1.078,20.0,18.5,93551
297,PALMDALE REGIONAL MEDICAL CENTER,CA,0.9302,4.5,4.8,93551
298,PALMDALE REGIONAL MEDICAL CENTER,CA,0.9302,4.5,4.8,93551
299,PALMDALE REGIONAL MEDICAL CENTER,CA,0.9955,22.1,22.2,93551
300,PALMDALE REGIONAL MEDICAL CENTER,CA,0.9955,22.1,22.2,93551
301,GOOD SAMARITAN HOSPITAL,CA,1.0065,19.8,19.7,90017
302,GOOD SAMARITAN HOSPITAL,CA,1.0065,19.8,19.7,95124
303,GOOD SAMARITAN HOSPITAL,CA,1.0065,19.8,19.7,95032
304,GOOD SAMARITAN HOSPITAL,CA,1.0491,19.2,18.3,90017
305,GOOD SAMARITAN HOSPITAL,CA,1.0491,19.2,18.3,95124
306,GOOD SAMARITAN HOSPITAL,CA,1.0491,19.2,18.3,95032
307,GOOD SAMARITAN HOSPITAL,CA,1.104,13.7,12.5,90017
308,GOOD SAMARITAN HOSPITAL,CA,1.104,13.7,12.5,95124
309,GOOD SAMARITAN HOSPITAL,CA,1.104,13.7,12.5,95032
310,GOOD SAMARITAN HOSPITAL,CA,0.9792,4.0,4.1,90017
311,GOOD SAMARITAN HOSPITAL,CA,0.9792,4.0,4.1,95124
312,GOOD SAMARITAN HOSPITAL,CA,0.9792,4.0,4.1,95032
313,GOOD SAMARITAN HOSPITAL,CA,0.9655,20.8,21.6,90017
314,GOOD SAMARITAN HOSPITAL,CA,0.9655,20.8,21.6,95124
315,GOOD SAMARITAN HOSPITAL,CA,0.9655,20.8,21.6,95032
316,GOOD SAMARITAN HOSPITAL,CA,1.0426,22.2,21.3,90017
317,GOOD SAMARITAN HOSPITAL,CA,1.0426,22.2,21.3,95124
318,GOOD SAMARITAN HOSPITAL,CA,1.0426,22.2,21.3,95032
319,GOOD SAMARITAN HOSPITAL,CA,1.1163,20.8,18.7,90017
320,GOOD SAMARITAN HOSPITAL,CA,1.1163,20.8,18.7,95124
321,GOOD SAMARITAN HOSPITAL,CA,1.1163,20.8,18.7,95032
322,GOOD SAMARITAN HOSPITAL,CA,1.0156,21.9,21.6,90017
323,GOOD SAMARITAN HOSPITAL,CA,1.0156,21.9,21.6,95124
324,GOOD SAMARITAN HOSPITAL,CA,1.0156,21.9,21.6,95032
