,hospital_name,provider_number,state,readmission_ratio,predicted_rate,expected_rate
54,CHANDLER REGIONAL MEDICAL CENTER,30036,AZ,0.7624,10.1,13.3
55,CHANDLER REGIONAL MEDICAL CENTER,30036,AZ,0.9465,15.7,16.6
56,ST LUKE'S MEDICAL CENTER,30037,AZ,0.8469,3.1,3.7
57,SCOTTSDALE OSBORN MEDICAL CENTER,30038,AZ,0.8642,3.7,4.3
58,KINGMAN REGIONAL MEDICAL CENTER,30055,AZ,1.0031,12.6,12.5
59,BANNER BOSWELL MEDICAL CENTER,30061,AZ,0.9767,21.3,21.8
60,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,30062,AZ,0.9894,19.0,19.2
61,BANNER DESERT MEDICAL CENTER,30065,AZ,1.0218,15.0,14.7
62,BANNER DESERT MEDICAL CENTER,30065,AZ,1.1059,21.3,19.3
63,BANNER DESERT MEDICAL CENTER,30065,AZ,1.0543,21.6,20.5
64,MT. GRAHAM REGIONAL MEDICAL CENTER,30068,AZ,0.9751,15.6,16.0
65,HAVASU REGIONAL MEDICAL CENTER,30069,AZ,0.9981,13.6,13.7
66,HAVASU REGIONAL MEDICAL CENTER,30069,AZ,0.9757,20.2,20.7
67,FORT DEFIANCE INDIAN HOSPITAL,30071,AZ,1.1008,13.5,12.3
74,NORTHWEST MEDICAL CENTER,30085,AZ,0.9135,17.7,19.4
76,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER,30123,AZ,0.9569,12.2,12.8
82,MEDICAL CENTER SOUTH ARKANSAS,40088,AR,1.0206,14.2,13.9
83,NEA BAPTIST MEMORIAL HOSPITAL,40118,AR,1.0873,22.4,20.6
84,ST VINCENT MEDICAL CENTER/NORTH,40137,AR,1.0274,15.3,14.9
87,NORTH ARKANSAS REGIONAL MEDICAL CENTER,40017,AR,0.9588,17.7,18.5
88,ST BERNARDS MEDICAL CENTER,40020,AR,0.8956,3.8,4.2
89,NORTHWEST MEDICAL CENTER-SPRINGDALE,40022,AR,0.9806,12.4,12.6
90,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,40036,AR,1.0814,15.3,14.1
91,ARKANSAS METHODIST MEDICAL CENTER,40039,AR,1.0432,17.1,16.3
92,ARKANSAS METHODIST MEDICAL CENTER,40039,AR,1.1163,19.8,17.8
93,ST MARYS REGIONAL MEDICAL CENTER,40041,AR,1.0484,16.1,15.4
95,FIVE RIVERS MEDICAL CENTER,40047,AR,1.0106,14.3,14.1
97,OUACHITA COUNTY MEDICAL CENTER,40050,AR,0.9894,16.4,16.6
98,ABRAZO ARROWHEAD CAMPUS,30094,AZ,1.0041,14.7,14.7
99,ABRAZO ARROWHEAD CAMPUS,30094,AZ,0.9503,20.5,21.6
100,ABRAZO ARROWHEAD CAMPUS,30094,AZ,0.904,15.4,17.1
102,BANNER HEART HOSPITAL,30105,AZ,0.8829,12.3,14.0
104,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",30108,AZ,0.9007,3.4,3.7
106,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,30111,AZ,0.9138,15.9,17.4
109,BANNER ESTRELLA MEDICAL CENTER,30115,AZ,0.9838,19.5,19.8
110,VALLEY VIEW MEDICAL CENTER,30117,AZ,0.9478,13.1,13.9
112,MILLS-PENINSULA MEDICAL CENTER,50007,CA,0.8116,12.9,15.9
114,SUTTER AMADOR HOSPITAL,50014,CA,0.9992,15.3,15.3
115,MERCY GENERAL HOSPITAL,50017,CA,1.1207,23.6,21.1
116,RIVERSIDE COMMUNITY HOSPITAL,50022,CA,0.9217,3.9,4.2
117,PARADISE VALLEY HOSPITAL,50024,CA,1.0068,21.4,21.2
118,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,50025,CA,1.0269,18.2,17.7
119,MAD RIVER COMMUNITY HOSPITAL,50028,CA,1.0197,18.1,17.8
122,SILOAM SPRINGS REGIONAL HOSPITAL,40001,AR,1.0407,16.2,15.5
123,JOHNSON REGIONAL MEDICAL CENTER,40002,AR,0.9719,14.7,15.2
124,JOHNSON REGIONAL MEDICAL CENTER,40002,AR,0.9262,12.2,13.1
125,CHAMBERS MEMORIAL HOSPITAL,40011,AR,1.1778,23.4,19.9
127,MENA REGIONAL HEALTH SYSTEM,40015,AR,1.0089,18.5,18.3
128,JEFFERSON REGIONAL MEDICAL CENTER,40071,AR,1.0972,12.6,11.5
129,JEFFERSON REGIONAL MEDICAL CENTER,40071,AR,1.0233,21.0,20.5
130,JEFFERSON REGIONAL MEDICAL CENTER,40071,AR,1.1012,17.8,16.2
132,HELEN KELLER MEMORIAL HOSPITAL,10019,AL,0.9145,3.6,3.9
133,HELEN KELLER MEMORIAL HOSPITAL,10019,AL,1.0686,16.6,15.5
134,DALE MEDICAL CENTER,10021,AL,0.9858,20.7,21.0
136,CHEROKEE MEDICAL CENTER,10022,AL,0.9636,17.5,18.2
137,CHEROKEE MEDICAL CENTER,10022,AL,0.9795,21.6,22.1
138,EAST ALABAMA MEDICAL CENTER,10029,AL,1.0375,20.8,20.1
139,JOHN C. LINCOLN MEDICAL CENTER,30014,AZ,0.9999,11.6,11.6
141,FLAGSTAFF MEDICAL CENTER,30023,AZ,0.8247,13.4,16.2
142,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,50112,CA,1.1061,20.2,18.3
143,PALOMAR HEALTH DOWNTOWN CAMPUS,50115,CA,1.0173,19.8,19.4
144,NORTHRIDGE HOSPITAL MEDICAL CENTER,50116,CA,0.9695,20.9,21.5
145,ADVENTIST MEDICAL CENTER,50121,CA,1.0503,19.3,18.4
146,ADVENTIST MEDICAL CENTER,50121,CA,1.0922,23.5,21.5
147,VALLEY PRESBYTERIAN HOSPITAL,50126,CA,0.9611,19.0,19.8
148,TRI-CITY MEDICAL CENTER,50128,CA,0.9701,11.8,12.2
149,NOVATO COMMUNITY HOSPITAL,50131,CA,1.0301,20.2,19.6
151,PETALUMA VALLEY HOSPITAL,50136,CA,0.9411,19.1,20.3
154,KAISER FOUNDATION HOSPITAL FONTANA,50140,CA,1.0162,22.6,22.2
155,KAISER FOUNDATION HOSPITAL FONTANA,50140,CA,1.0498,18.5,17.6
157,SEQUOIA HOSPITAL,50197,CA,0.9657,14.5,15.0
158,PALMDALE REGIONAL MEDICAL CENTER,50204,CA,0.9202,16.8,18.2
159,ALAMEDA HOSPITAL,50211,CA,1.0225,21.3,20.9
160,ALAMEDA HOSPITAL,50211,CA,1.1127,18.3,16.5
162,GOOD SAMARITAN HOSPITAL,50257,CA,1.0065,19.8,19.7
164,GOOD SAMARITAN HOSPITAL,50257,CA,1.0491,19.2,18.3
166,CONTRA COSTA REGIONAL MEDICAL CENTER,50276,CA,0.9377,20.3,21.6
167,PROVIDENCE HOLY CROSS MEDICAL CENTER,50278,CA,0.9863,18.0,18.2
169,HI-DESERT MEDICAL CENTER,50279,CA,1.0666,19.0,17.8
170,HI-DESERT MEDICAL CENTER,50279,CA,1.0932,4.7,4.3
171,MERCY MEDICAL CENTER REDDING,50280,CA,0.9409,13.0,13.8
172,MERCY MEDICAL CENTER REDDING,50280,CA,0.8235,11.1,13.5
174,SIERRA NEVADA MEMORIAL HOSPITAL,50150,CA,1.0295,16.1,15.6
175,ENCINO HOSPITAL MEDICAL CENTER,50158,CA,0.9879,19.6,19.8
177,VENTURA COUNTY MEDICAL CENTER,50159,CA,1.0511,16.4,15.7
178,VENTURA COUNTY MEDICAL CENTER,50159,CA,0.9942,15.5,15.6
180,SANTA ROSA MEMORIAL HOSPITAL,50174,CA,0.8668,3.7,4.3
181,ST MARY MEDICAL CENTER,50191,CA,0.9814,23.3,23.7
182,ST MARY MEDICAL CENTER,50191,CA,1.0521,4.2,4.0
184,BAKERSFIELD MEMORIAL HOSPITAL,50036,CA,1.0553,23.2,22.0
185,BAKERSFIELD MEMORIAL HOSPITAL,50036,CA,1.0409,4.1,3.9
186,SAN FRANCISCO GENERAL HOSPITAL,50228,CA,1.0486,20.1,19.2
188,POMONA VALLEY HOSPITAL MEDICAL CENTER,50231,CA,1.0282,13.5,13.1
189,FRENCH HOSPITAL MEDICAL CENTER,50232,CA,0.918,11.6,12.6
190,ADVENTIST HEALTH SIMI VALLEY,50236,CA,1.0125,22.7,22.4
191,METHODIST HOSPITAL OF SOUTHERN CA,50238,CA,0.9727,14.5,14.9
192,DESERT REGIONAL MEDICAL CENTER,50243,CA,0.9796,18.6,19.0
194,MARSHALL MEDICAL CENTER,50254,CA,0.9942,18.8,18.9
195,MERCY GILBERT MEDICAL CENTER,30119,AZ,0.9962,15.9,15.9
196,GILBERT HOSPITAL,30120,AZ,0.9866,15.8,16.0
197,"MOUNTAIN VISTA MEDICAL CENTER, LP",30121,AZ,1.0507,13.6,12.9
198,BANNER GATEWAY MEDICAL CENTER,30122,AZ,0.963,16.9,17.5
200,PROVIDENCE ALASKA MEDICAL CENTER,20001,AK,0.8939,12.1,13.5
201,ALASKA REGIONAL HOSPITAL,20017,AK,1.003,13.3,13.3
202,MARINA DEL REY HOSPITAL,50740,CA,0.9092,16.4,18.0
203,YUKON KUSKOKWIM DELTA REG HOSPITAL,20018,AK,0.9729,19.4,20.0
206,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,30002,AZ,0.9201,14.8,16.1
208,SHARP MEMORIAL HOSPITAL,50100,CA,0.8791,3.7,4.2
210,WHITE MEMORIAL MEDICAL CENTER,50103,CA,1.02,25.7,25.2
211,SAINT FRANCIS MEDICAL CENTER,50104,CA,0.9945,18.6,18.7
212,SAINT FRANCIS MEDICAL CENTER,50104,CA,0.9714,22.9,23.6
213,"SUTTER MEDICAL CENTER, SACRAMENTO",50108,CA,0.9623,15.4,16.0
214,"SUTTER MEDICAL CENTER, SACRAMENTO",50108,CA,1.0671,21.7,20.3
215,LOMPOC VALLEY MEDICAL CENTER,50110,CA,1.0098,4.2,4.1
219,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,50075,CA,1.0058,21.1,21.0
221,SCRIPPS MERCY HOSPITAL,50077,CA,0.9706,14.8,15.2
222,SCRIPPS MERCY HOSPITAL,50077,CA,1.1937,14.8,12.4
224,SONOMA VALLEY HOSPITAL,50090,CA,0.9452,18.6,19.7
225,COMMUNITY HOSPITAL OF HUNTINGTON PARK,50091,CA,1.0369,24.5,23.6
227,SAINT AGNES MEDICAL CENTER,50093,CA,0.7822,10.3,13.2
228,SAINT AGNES MEDICAL CENTER,50093,CA,1.1209,18.6,16.6
229,ADVENTIST HEALTH SONORA,50335,CA,0.9175,18.8,20.5
230,LODI MEMORIAL HOSPITAL,50336,CA,1.0096,19.1,18.9
231,BEVERLY HOSPITAL,50350,CA,1.0122,21.1,20.9
232,PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE,50353,CA,0.9583,21.7,22.6
234,SCRIPPS GREEN HOSPITAL,50424,CA,1.0129,12.8,12.6
238,VICTOR VALLEY GLOBAL MEDICAL CENTER,50517,CA,1.1114,25.5,23.0
239,HUNTINGTON BEACH HOSPITAL,50526,CA,1.0175,20.0,19.6
240,JOHN F KENNEDY MEMORIAL HOSPITAL,50534,CA,0.9303,21.0,22.6
241,LOS ANGELES COMMUNITY HOSPITAL,50663,CA,1.094,27.6,25.3
243,KAISER FOUNDATION HOSP SO SACRAMENTO,50674,CA,1.0093,21.3,21.1
246,SAN RAMON REGIONAL MEDICAL CTR,50689,CA,0.9685,3.8,3.9
249,FRESNO SURGICAL HOSPITAL,50708,CA,0.8302,3.0,3.6
254,MISSION HOSPITAL REGIONAL MED CENTER,50567,CA,0.9545,14.3,15.0
255,FOUNTAIN VALLEY REGIONAL HOSPITAL & MEDICAL CENTER,50570,CA,1.1053,16.9,15.3
258,LOS ALAMITOS MEDICAL CENTER,50551,CA,0.94,15.1,16.1
260,TWIN CITIES COMMUNITY HOSPITAL,50633,CA,0.9408,16.7,17.7
261,TWIN CITIES COMMUNITY HOSPITAL,50633,CA,0.9562,17.3,18.1
263,EAST LOS ANGELES DOCTORS HOSPITAL,50641,CA,1.0588,21.0,19.9
266,GOOD SAMARITAN HOSPITAL,50380,CA,1.104,13.7,12.5
267,GOOD SAMARITAN HOSPITAL,50380,CA,0.9792,4.0,4.1
268,HEMET VALLEY MEDICAL CENTER,50390,CA,0.9594,18.1,18.9
269,HEMET VALLEY MEDICAL CENTER,50390,CA,0.9359,5.9,6.4
273,MERCY HOSPITAL OF FOLSOM,50414,CA,0.953,18.6,19.5
276,PALO VERDE HOSPITAL,50423,CA,0.9905,16.2,16.3
278,ENLOE MEDICAL CENTER,50039,CA,1.0124,15.3,15.1
280,EL CENTRO REGIONAL MEDICAL CENTER,50045,CA,0.9692,21.6,22.2
281,EL CENTRO REGIONAL MEDICAL CENTER,50045,CA,0.9562,16.1,16.8
282,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,50055,CA,0.917,3.4,3.7
283,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,50055,CA,1.0474,16.2,15.4
284,OAK VALLEY HOSPITAL DISTRICT,50067,CA,1.1055,4.6,4.1
285,ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,50305,CA,0.9603,19.1,19.8
286,EL CAMINO HOSPITAL,50308,CA,1.0934,15.4,14.1
287,EL CAMINO HOSPITAL,50308,CA,0.9777,13.1,13.4
288,EL CAMINO HOSPITAL,50308,CA,0.8488,16.6,19.6
289,SUTTER ROSEVILLE MEDICAL CENTER,50309,CA,0.841,17.3,20.6
290,SUTTER TRACY COMMUNITY HOSPITAL,50313,CA,0.9337,16.2,17.4
291,KERN MEDICAL CENTER,50315,CA,1.0743,16.1,15.0
292,HIGHLAND HOSPITAL,50320,CA,0.9902,18.4,18.6
293,SCRIPPS MEMORIAL HOSPITAL LA JOLLA,50324,CA,0.918,19.1,20.8
294,LOMA LINDA UNIVERSITY MEDICAL CENTER,50327,CA,1.1201,23.9,21.3
295,LOMA LINDA UNIVERSITY MEDICAL CENTER,50327,CA,1.0529,19.0,18.1
297,LONGMONT UNITED HOSPITAL,60003,CO,0.9625,16.5,17.2
298,MONTROSE MEMORIAL HOSPITAL,60006,CO,0.8627,15.4,17.9
300,POUDRE VALLEY HOSPITAL,60010,CO,0.8674,16.9,19.5
302,PRESBYTERIAN ST LUKES MEDICAL CENTER,60014,CO,0.9778,14.3,14.6
304,CENTURA HEALTH-ST THOMAS MORE HOSPITAL,60016,CO,0.9591,14.9,15.5
305,CASTLE ROCK ADVENTIST HOSPITAL,60125,CO,1.1012,4.2,3.8
308,ST FRANCIS HOSPITAL & MEDICAL CENTER,70002,CT,0.9196,20.0,21.7
309,DAY KIMBALL HOSPITAL,70003,CT,0.9224,4.2,4.6
310,SHARON HOSPITAL,70004,CT,1.0371,18.9,18.2
311,STAMFORD HOSPITAL,70006,CT,1.0181,12.8,12.6
312,LAWRENCE & MEMORIAL HOSPITAL,70007,CT,1.0426,17.0,16.3
313,LAWRENCE & MEMORIAL HOSPITAL,70007,CT,0.9086,15.1,16.6
314,JOHNSON MEMORIAL HOSPITAL,70008,CT,1.0691,5.7,5.3
315,BRIDGEPORT HOSPITAL,70010,CT,0.8759,12.2,13.9
316,SAINT MARY'S HOSPITAL,70016,CT,0.9884,14.0,14.2
317,"MILFORD HOSPITAL, INC",70019,CT,1.0423,21.3,20.4
318,WINDHAM COMM MEM HOSP & HATCH HOSP,70021,CT,1.0205,19.7,19.3
319,YALE-NEW HAVEN HOSPITAL,70022,CT,1.12,23.6,21.1
320,YALE-NEW HAVEN HOSPITAL,70022,CT,1.2887,6.0,4.6
321,WILLIAM W BACKUS HOSPITAL,70024,CT,1.0101,20.3,20.1
322,HARTFORD HOSPITAL,70025,CT,1.0633,20.7,19.5
323,MANCHESTER MEMORIAL HOSPITAL,70027,CT,0.9968,18.3,18.4
324,ST VINCENT'S MEDICAL CENTER,70028,CT,1.0016,15.3,15.2
325,ST VINCENT'S MEDICAL CENTER,70028,CT,1.1143,14.8,13.3
326,ST VINCENT'S MEDICAL CENTER,70028,CT,1.0575,16.8,15.8
327,NORWALK HOSPITAL ASSOCIATION,70034,CT,1.0427,20.4,19.6
328,NORWALK HOSPITAL ASSOCIATION,70034,CT,0.9149,18.0,19.7
329,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,60022,CO,0.9507,13.3,14.0
330,UNIVERSITY COLO HEALTH MEMORIAL HOSPITAL CENTRAL,60022,CO,0.8565,17.3,20.2
331,CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,60031,CO,0.8828,15.4,17.5
332,SWEDISH MEDICAL CENTER,60034,CO,1.0388,19.5,18.7
334,COLORADO PLAINS MEDICAL CENTER,60044,CO,1.0148,18.1,17.9
336,COMMUNITY HOSPITAL,60054,CO,0.9535,15.2,16.0
337,CENTURA HEALTH-PORTER ADVENTIST HOSPITAL,60064,CO,0.9154,19.2,21.0
338,LA PALMA INTERCOMMUNITY HOSPITAL,50580,CA,1.0297,20.9,20.2
339,LA PALMA INTERCOMMUNITY HOSPITAL,50580,CA,1.0008,24.1,24.0
340,LAKEWOOD REGIONAL MEDICAL CENTER,50581,CA,0.9797,18.1,18.4
341,SAN DIMAS COMMUNITY HOSPITAL,50588,CA,1.0024,24.1,24.0
342,PLACENTIA LINDA HOSPITAL,50589,CA,0.9753,4.1,4.2
343,FOOTHILL PRESBYTERIAN HOSPITAL,50597,CA,0.9797,19.1,19.5
344,SADDLEBACK MEMORIAL MEDICAL CENTER,50603,CA,1.0829,14.3,13.2
346,MERCY MEDICAL CENTER,50444,CA,1.0553,19.2,18.2
347,ST MARY'S MEDICAL CENTER,50457,CA,1.0763,21.9,20.3
348,ST MARY'S MEDICAL CENTER,50457,CA,1.0683,16.6,15.5
349,DOCTORS MEDICAL CENTER,50464,CA,1.0828,21.3,19.7
351,GOOD SAMARITAN HOSPITAL,50471,CA,0.9655,20.8,21.6
352,WEST HILLS HOSPITAL & MEDICAL CENTER,50481,CA,1.0094,16.6,16.5
353,LONG BEACH MEMORIAL MEDICAL CENTER,50485,CA,1.0316,16.2,15.7
354,EDEN MEDICAL CENTER,50488,CA,1.0465,17.5,16.8
355,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,50496,CA,0.965,14.8,15.3
356,JOHN MUIR MEDICAL CENTER - CONCORD CAMPUS,50496,CA,0.9014,12.8,14.2
357,PROVIDENCE SAINT JOHN'S HEALTH CENTER,50290,CA,0.9975,17.5,17.5
358,SUTTER SANTA ROSA REGIONAL HOSPITAL,50291,CA,0.9478,12.9,13.6
359,"ANIMAS SURGICAL HOSPITAL, LLC",60117,CO,0.905,3.2,3.5
361,MEDICAL CENTER OF THE ROCKIES,60119,CO,0.9762,12.3,12.6
363,CASTLE ROCK ADVENTIST HOSPITAL,60125,CO,0.9584,20.0,20.8
364,GARFIELD MEDICAL CENTER,50737,CA,0.9824,16.8,17.1
365,GREATER EL MONTE COMMUNITY HOSPITAL,50738,CA,0.9742,24.4,25.0
367,CENTINELA HOSPITAL MEDICAL CENTER,50739,CA,1.1968,29.0,24.2
368,CENTINELA HOSPITAL MEDICAL CENTER,50739,CA,1.0657,5.6,5.3
369,MARINA DEL REY HOSPITAL,50740,CA,1.0239,21.7,21.2
376,KAISER FOUNDATION HOSPITAL - ANTIOCH,50760,CA,1.0684,17.4,16.3
377,SHASTA REGIONAL MEDICAL CENTER,50764,CA,0.9623,14.6,15.1
379,LOMA LINDA UNIVERSITY MEDICAL CENTER-MURRIETA,50770,CA,1.0398,18.7,18.0
380,HOLMES REGIONAL MEDICAL CENTER,100019,FL,1.1226,18.9,16.9
381,HOLMES REGIONAL MEDICAL CENTER,100019,FL,1.1536,20.5,17.8
382,SACRED HEART HOSPITAL,100025,FL,1.0251,22.6,22.0
383,BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM,100026,FL,0.9376,18.7,20.0
384,NORTH SHORE MEDICAL CENTER,100029,FL,1.1875,22.5,18.9
386,MOUNT SINAI MEDICAL CENTER,100034,FL,1.0019,17.6,17.6
387,MANATEE MEMORIAL HOSPITAL,100035,FL,0.9426,15.0,15.9
388,MANATEE MEMORIAL HOSPITAL,100035,FL,1.0885,14.5,13.3
389,MANATEE MEMORIAL HOSPITAL,100035,FL,0.9649,16.2,16.7
390,MEMORIAL REGIONAL HOSPITAL,100038,FL,0.939,21.1,22.5
391,MEMORIAL REGIONAL HOSPITAL,100038,FL,0.9585,16.8,17.5
392,BROWARD HEALTH MEDICAL CENTER,100039,FL,1.0318,17.4,16.9
393,ST VINCENT'S MEDICAL CENTER RIVERSIDE,100040,FL,1.1071,18.9,17.1
394,MEASE DUNEDIN HOSPITAL,100043,FL,0.9497,21.5,22.6
395,BAPTIST HOSPITAL,100093,FL,0.9704,14.3,14.8
396,BAPTIST HOSPITAL,100093,FL,1.0824,4.7,4.4
397,LAKE WALES MEDICAL CENTER,100099,FL,1.0439,18.5,17.7
398,INDIAN RIVER MEDICAL CENTER,100105,FL,0.9436,4.4,4.6
399,LEHIGH REGIONAL MEDICAL CENTER,100107,FL,1.0448,19.0,18.1
401,FLORIDA HOSPITAL HEARTLAND MEDICAL CENTER,100109,FL,1.0466,23.1,22.1
402,OSCEOLA REGIONAL MEDICAL CENTER,100110,FL,1.1029,14.6,13.2
403,OSCEOLA REGIONAL MEDICAL CENTER,100110,FL,1.0433,20.7,19.8
404,BAPTIST MEDICAL CENTER - BEACHES,100117,FL,1.1388,22.6,19.8
405,BAPTIST MEDICAL CENTER - BEACHES,100117,FL,0.9609,16.3,17.0
406,BARTOW REGIONAL MEDICAL CENTER,100121,FL,1.0073,21.8,21.6
407,LAKELAND REGIONAL MEDICAL CENTER,100157,FL,1.1154,17.6,15.8
408,LAKELAND REGIONAL MEDICAL CENTER,100157,FL,1.2341,24.3,19.7
409,CENTRAL FLORIDA REGIONAL HOSPITAL,100161,FL,1.0606,17.1,16.1
410,CENTRAL FLORIDA REGIONAL HOSPITAL,100161,FL,1.0317,22.0,21.3
411,CENTRAL FLORIDA REGIONAL HOSPITAL,100161,FL,1.0512,17.1,16.3
412,BOCA RATON REGIONAL HOSPITAL,100168,FL,0.8911,15.2,17.1
413,FLORIDA HOSPITAL TAMPA,100173,FL,0.9303,4.1,4.5
415,PALM BEACH GARDENS MEDICAL CENTER,100176,FL,0.9359,18.8,20.1
416,PALM BEACH GARDENS MEDICAL CENTER,100176,FL,0.9532,4.8,5.0
417,CAPE CANAVERAL HOSPITAL,100177,FL,1.0232,16.3,15.9
418,CAPE CANAVERAL HOSPITAL,100177,FL,0.9733,18.1,18.6
419,CAPE CANAVERAL HOSPITAL,100177,FL,1.0026,21.8,21.8
420,CAPE CANAVERAL HOSPITAL,100177,FL,0.9543,4.9,5.1
421,CAPE CANAVERAL HOSPITAL,100177,FL,0.9295,15.6,16.7
423,ST PETERSBURG GENERAL HOSPITAL,100180,FL,1.2207,21.0,17.2
424,LARKIN COMMUNITY HOSPITAL,100181,FL,0.8853,4.9,5.5
425,PALMETTO GENERAL HOSPITAL,100187,FL,1.0189,5.2,5.1
426,NORTHWEST MEDICAL CENTER,100189,FL,0.9889,17.0,17.2
427,MARTIN MEDICAL CENTER,100044,FL,1.0016,21.1,21.0
428,FLORIDA HOSPITAL ZEPHYRHILLS,100046,FL,0.9196,17.9,19.4
429,BAYFRONT HEALTH PUNTA GORDA,100047,FL,0.9871,21.5,21.8
430,LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS,100050,FL,1.0124,23.5,23.2
431,LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS,100050,FL,1.0854,22.5,20.7
432,SOUTH LAKE HOSPITAL,100051,FL,0.8809,4.2,4.8
434,BAPTIST MEDICAL CENTER JACKSONVILLE,100088,FL,0.9422,15.9,16.9
435,FLAGLER HOSPITAL,100090,FL,0.9547,20.0,20.9
440,BAPTIST HOSPITAL OF MIAMI,100008,FL,1.0096,18.1,17.9
441,HALIFAX HEALTH MEDICAL CENTER,100017,FL,1.0371,17.2,16.6
442,VALLEY VIEW HOSPITAL ASSOCIATION,60075,CO,0.9923,20.8,20.9
443,STERLING REGIONAL MEDCENTER,60076,CO,0.9594,19.4,20.2
445,CENTURA HEALTH-AVISTA ADVENTIST HOSPITAL,60103,CO,0.9082,13.7,15.1
446,ST ANTHONY NORTH HEALTH CAMPUS,60104,CO,0.9353,20.6,22.0
448,SKY RIDGE MEDICAL CENTER,60112,CO,0.9303,19.4,20.8
449,CENTURA HEALTH-LITTLETON ADVENTIST HOSPITAL,60113,CO,0.981,15.0,15.3
450,MAYO CLINIC,100151,FL,0.943,20.4,21.6
